SMILES,LogD {measured},UNIT {LogD},pH,UNIT {pH},Temperature,UNIT {Temperature},logPow Method,logPow Buffer,Ionic strength,UNIT {Ionic strength},Species,Test duration,Material Nanoparticles of Elements,APS,UNIT {APS},Explosure concentration,UNIT {Explosure concentration},Crystal structure of nanoparticles,Ionisable
CCN1CCCC1CNC(=O)C1=C(OC)C=CC(=C1)S(N)(=O)=O,-1.15,Log unit,7.4,Log unit,,-,,,,-,,,,,-,,-,,
CC(C)(C)NCC(O)C1=CC(O)=CC(O)=C1,-1.4,Log unit,7.4,Log unit,,-,,,,-,,,,,-,,-,,
C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@]34C)[C@@H]1CC[C@@H]2O,3.31,Log unit,7.4,Log unit,,-,,,,-,,,,,-,,-,,
CN1C2=C(NC=N2)C(=O)N(C)C1=O,-0.02,Log unit,7.4,Log unit,,-,,,,-,,,,,-,,-,,
CSC1=CC2=C(C=C1)N=CN(\C=C\C(O)=O)C2=O,-1.05,Log unit,7.4,Log unit,,-,,,,-,,,,,-,,-,,
COC1=C(OC)C=C(CCN(C)CCCC(C#N)(C(C)C)C2=CC(OC)=C(OC)C=C2)C=C1,1.91,Log unit,7.4,Log unit,,-,,,,-,,,,,-,,-,,
CC(=O)CC(C1=CC=CC=C1)C1=C(O)C2=CC=CC=C2OC1=O,0.12,Log unit,7.4,Log unit,,-,,,,-,,,,,-,,-,,
CC(=O)NC1=CC=C(O)C=C1,0.51,Log unit,7.4,Log unit,,-,,,,-,,,,,-,,-,,
CC(=O)OC1=C(C=CC=C1)C(O)=O,1.19,Log unit,7.4,Log unit,,-,,,,-,,,,,-,,-,,
CN1N(C(=O)C=C1C)C1=CC=CC=C1,0.41,Log unit,7.4,Log unit,,-,,,,-,,,,,-,,-,,
CC(C)NCC(O)COC1=CC=C(CC(N)=O)C=C1,-1.68,Log unit,7.4,Log unit,,-,,,,-,,,,,-,,-,,
CCCCNC1=C(OC2=CC=CC=C2)C(=CC(=C1)C(O)=O)S(N)(=O)=O,0.1,Log unit,7.4,Log unit,,-,,,,-,,,,,-,,-,,
CN1C=NC2=C1C(=O)N(C)C(=O)N2C,-0.03,Log unit,7.4,Log unit,,-,,,,-,,,,,-,,-,,
CN\C(NC#N)=N/CCSCC1=C(C)NC=N1,0.21,Log unit,7.4,Log unit,,-,,,,-,,,,,-,,-,,
NC(N)=NC1=NC(CSCC\C(N)=N/S(N)(=O)=O)=CS1,-1.11,Log unit,7.4,Log unit,,-,,,,-,,,,,-,,-,,
CCOC(=O)C1=C(C)NC(C)=C(C1C1=C(Cl)C(Cl)=CC=C1)C(=O)OC,4.2,Log unit,7.4,Log unit,,-,,,,-,,,,,-,,-,,
NS(=O)(=O)C1=CC(C(O)=O)=C(NCC2=CC=CO2)C=C1Cl,-0.92,Log unit,7.4,Log unit,,-,,,,-,,,,,-,,-,,
C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@]34C)[C@@H]1CC[C@]2(O)C(=O)CO,1.54,Log unit,7.4,Log unit,,-,,,,-,,,,,-,,-,,
CC(C)CC1=CC=C(C=C1)C(C)C(O)=O,0.88,Log unit,7.4,Log unit,,-,,,,-,,,,,-,,-,,
NC1=NC(=O)N(C=C1)[C@@H]1CS[C@H](CO)O1,-0.92,Log unit,7.4,Log unit,,-,,,,-,,,,,-,,-,,
CN1C2=C(C3=C1C=CC=C3)C(=O)C(CN1C=CN=C1C)CC2,2.3,Log unit,7.4,Log unit,,-,,,,-,,,,,-,,-,,
CC(C)NCC(O)COC1=C(OCC=C)C=CC=C1,0.18,Log unit,7.4,Log unit,,-,,,,-,,,,,-,,-,,
CC(C)NCC(O)COC1=CC=CC2=C1C=CN2,0.09,Log unit,7.4,Log unit,,-,,,,-,,,,,-,,-,,
CN1[C@H]2CC(C[C@H]1[C@@H]1O[C@H]21)OC(=O)C(CO)C1=CC=CC=C1,0.21,Log unit,7.4,Log unit,,-,,,,-,,,,,-,,-,,
CC(C)NCC(O)C1=CC=C(NS(C)(=O)=O)C=C1,-1.38,Log unit,7.4,Log unit,,-,,,,-,,,,,-,,-,,
CNS(=O)(=O)CC1=CC2=C(NC=C2CCN(C)C)C=C1,-1.06,Log unit,7.4,Log unit,,-,,,,-,,,,,-,,-,,
CC(C)(C)NCC(O)C1=CC(O)=CC(O)=C1,-1.29,Log unit,7.4,Log unit,,-,,,,-,,,,,-,,-,,
CN1C2=C(NC=N2)C(=O)N(C)C1=O,-0.03,Log unit,7.4,Log unit,,-,,,,-,,,,,-,,-,,
CCCC(CCC)C(O)=O,2.72,Log unit,7.4,Log unit,,-,,,,-,,,,,-,,-,,
CCCC(=O)NC1=CC(C(C)=O)=C(OCC(O)CNC(C)C)C=C1,-0.39,Log unit,7.4,Log unit,,-,,,,-,,,,,-,,-,,
CC(=O)NC1=CC=C(O)C=C1,0.38,Log unit,7.4,Log unit,,-,,,,-,,,,,-,,-,,
CCN1N=NN(CCN2CCC(COC)(CC2)N(C(=O)CC)C2=CC=CC=C2)C1=O,2.39,Log unit,7.4,Log unit,,-,,,,-,,,,,-,,-,,
OC1=NC=NC2=C1C=NN2,-0.1,Log unit,7.4,Log unit,,-,,,,-,,,,,-,,-,,
CC1=NN=C2CN=C(C3=CC=CC=C3)C3=C(C=CC(Cl)=C3)N12,2.16,Log unit,7.4,Log unit,,-,,,,-,,,,,-,,-,,
CC(C)NCC(O)COC1=CC=CC=C1CC=C,0.62,Log unit,7.4,Log unit,,-,,,,-,,,,,-,,-,,
NC12CC3CC(CC(C3)C1)C2,-0.81,Log unit,7.4,Log unit,,-,,,,-,,,,,-,,-,,
CCCCC1=C(C(=O)C2=CC(I)=C(OCCN(CC)CC)C(I)=C2)C2=C(O1)C=CC=C2,5.95,Log unit,7.4,Log unit,,-,,,,-,,,,,-,,-,,
C[N+](C)([O-])CCC=C1C2=C(CCC3=C1C=CC=C3)C=CC=C2,2.94,Log unit,7.4,Log unit,,-,,,,-,,,,,-,,-,,
CN(C)CCC=C1C2=C(CCC3=C1C=CC=C3)C=CC=C2,3.14,Log unit,7.4,Log unit,,-,,,,-,,,,,-,,-,,
CN1N(C(=O)C=C1C)C1=CC=CC=C1,0.34,Log unit,7.4,Log unit,,-,,,,-,,,,,-,,-,,
CC(C)NCC(O)COC1=CC=C(CC(N)=O)C=C1,-1.51,Log unit,7.4,Log unit,,-,,,,-,,,,,-,,-,,
CNCC[C@@H](OC1=CC=CC=C1C)C1=CC=CC=C1,1.3,Log unit,7.4,Log unit,,-,,,,-,,,,,-,,-,,
CN1[C@H]2CC[C@@H]1CC(C2)OC(=O)C(CO)C1=CC=CC=C1,-0.16,Log unit,7.4,Log unit,,-,,,,-,,,,,-,,-,,
CN1CCCC(CC1)N1N=C(CC2=CC=C(Cl)C=C2)C2=C(C=CC=C2)C1=O,1.93,Log unit,7.4,Log unit,,-,,,,-,,,,,-,,-,,
CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O,0.9,Log unit,7.4,Log unit,,-,,,,-,,,,,-,,-,,
C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,2.33,Log unit,7.4,Log unit,,-,,,,-,,,,,-,,-,,
CC(C)NCC(O)COC1=CC=C(CCOCC2CC2)C=C1,0.46,Log unit,7.4,Log unit,,-,,,,-,,,,,-,,-,,
CC(C)NCC(O)COC1=CC=C(COCCOC(C)C)C=C1,-0.38,Log unit,7.4,Log unit,,-,,,,-,,,,,-,,-,,
BrC1=CC2=C(NC(=O)CN=C2C2=CC=CC=N2)C=C1,1.38,Log unit,7.4,Log unit,,-,,,,-,,,,,-,,-,,
OC1=CC2=C(C[C@H]3N(CC4CCC4)CC[C@@]22CCCC[C@@]32O)C=C1,1.48,Log unit,7.4,Log unit,,-,,,,-,,,,,-,,-,,
CN1C=NC2=C1C(=O)N(C)C(=O)N2C,-0.01,Log unit,7.4,Log unit,,-,,,,-,,,,,-,,-,,
OC[C@@H](NC(=O)C(Cl)Cl)[C@H](O)C1=CC=C(C=C1)[N+]([O-])=O,1.55,Log unit,7.4,Log unit,,-,,,,-,,,,,-,,-,,
C\N=C1\CN(O)C(C2=CC=CC=C2)=C2C=C(Cl)C=CC2=N1,3.08,Log unit,7.4,Log unit,,-,,,,-,,,,,-,,-,,
CN(C)CCC(C1=CC=C(Cl)C=C1)C1=CC=CC=N1,1.56,Log unit,7.4,Log unit,,-,,,,-,,,,,-,,-,,
CN(C)CCCN1C2=C(SC3=C1C=C(Cl)C=C3)C=CC=C2,3.2,Log unit,7.4,Log unit,,-,,,,-,,,,,-,,-,,
[H]N(C#N)C(=N/C([H])([H])[H])\N([H])C([H])([H])C([H])([H])SC([H])([H])C1=C(N([H])C([H])=N1)C([H])([H])[H],0.4,Log unit,7.4,Log unit,,-,,,,-,,,,,-,,-,,
