smiles,logP
O=[N+]([O-])c1cc(Br)c(O)c(Br)c1,3.57
CCCCC(O)CC,2.24
N#CCCCl,0.18
CCCCCCN,2.06
CCCCCC=O,1.78
CCCCNC(N)=O,0.41
Cc1ccc(C)c(O)c1,2.33
Nc1ccc(S(=O)(=O)Nc2ccccc2)cc1,1.55
c1ccc(Nc2cccc3ccccc23)cc1,4.2
CCCOC(=O)c1cc(O)c(O)c(O)c1,1.8
c1ccc(N2CCOCC2)cc1,1.36
CC(=O)Oc1ccc([N+](=O)[O-])cc1,1.5
O=C(O)C(Cl)Cl,0.92
CCOP(=O)(CC)OCC,0.66
CCOP(=O)(OCC)OCC,0.8
CC(=O)CC(C)=O,0.4
c1ccc(SSc2ccccc2)cc1,4.41
Cc1ccc(S(=O)(=O)F)cc1,2.74
O=C(O)/C=C/C(=O)O,0.46
NC(=O)NNc1ccccc1,0.13
O=C1c2ccccc2C(=O)N1c1ccccc1,2.4
NC(=O)Nc1ccccc1,0.83
O=C(O)c1cc(I)ccc1O,3.34
CC1(C(=O)O)CCC2(C)CCC3(C)C(=C2C1)CC(=O)C1C2(C)CCC(OC4OC(C(=O)O)C(O)C(O)C4OC4OC(C(=O)O)C(O)C(O)C4O)C(C)(C)C2CCC13C,2.8
O=C1C(O)c2c(O)cc(O)cc2OC1c1ccc(O)c(O)c1,0.95
O=C1C=CC(=O)C(c2ccccc2)=C1,1.95
Oc1cc(O)c2c(c1)OC(c1ccc(O)c(O)c1)C(O)C2,0.51
COc1cc(C=CC(=O)O)ccc1O,1.51
Cc1occc(=O)c1O,0.09
O=C(O)C(O)(c1ccccc1)c1ccccc1,2.3
CCC(=O)c1ccc(O)cc1,2.03
CC(CCl)OC(C)CCl,2.48
Cc1cc(Cl)ccc1O,2.63
OCCBr,0.23
Oc1ccccc1Cl,2.15
Oc1ccc(Cl)cc1,2.39
Cc1cccc(Cl)c1O,2.8
Oc1ccc(Cl)cc1Cl,3.06
NC(=O)c1ccc([N+](=O)[O-])cc1,0.82
NCC(=O)O,-3.21
O=C(O)COc1ccc(Cl)cc1Cl,2.81
c1ccc(C2CC2)cc1,3.27
O=C(O)Cc1ccccc1,1.41
CNC=O,-0.97
COC(N)=O,-0.66
COc1ccc(CC(N)C(=O)NC2C(CO)OC(n3cnc4c(N(C)C)ncnc43)C2O)cc1,0.03
c1ccc2[nH]nnc2c1,1.44
CCc1[nH]c(=N)[nH]c(=N)c1-c1ccc(Cl)cc1,2.69
O=C(NC(CO)C(O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl,1.14
CC=C(c1ccc(O)cc1)C(CC)c1ccc(O)cc1,5.07
CNC1CCc2cc(OC)c(OC)c(OC)c2-c2ccc(OC)c(=O)cc21,1.37
CC(=O)Nc1cccc(C)c1,1.68
O=C1NC(=O)c2ccccc21,1.15
COC(=O)c1ccccc1N,1.88
COC(=O)CC#N,-0.47
NC(=O)c1ccccc1,0.64
NC(=O)c1ccccc1O,1.28
CCOc1ccc(N)cc1,1.24
O=C(O)c1cccc([N+](=O)[O-])c1C(=O)O,0.75
COc1ccccc1N,1.18
O=Nc1ccc(O)cc1,1.29
O=C(O)CCCc1c[nH]c2ccccc12,2.3
O=C(Nc1ccccc1)c1ccccc1,2.62
CC(=O)N(c1ccccc1)c1ccccc1,2.02
ON=C(O)c1ccccc1,0.26
CC(=O)N(C)C,-0.77
Cc1ccc([N+](=O)[O-])c(O)c1,2.31
CC(=O)Nc1ccccc1-c1ccccc1,2.02
COc1cc(-c2ccc(N)c(OC)c2)ccc1N,1.81
CC(O)CN,-0.96
OC(O)C(Cl)(Cl)Cl,0.99
O=P(OCCCl)(OCCCl)OCCCl,1.44
O=P(OCC(Br)CBr)(OCC(Br)CBr)OCC(Br)CBr,4.29
CC(=O)c1ccc(N)cc1,0.83
CCOC(=O)Nc1ccccc1,2.3
CCC(N)C(=O)O,-2.54
O=C(O)CCc1c[nH]c2ccccc12,1.75
N=c1nc(-c2ccccc2)[nH]c(=N)[nH]1,1.36
NC(=S)Nc1cccc2ccccc12,1.65
CC(=O)C1CCC2C3CC=C4CC(=O)CCC4(C)C3C(O)CC12C,2.36
CC12CCC3C4=C(CCC3C1CCC2O)CC(=O)CC4,2.62
CC(=O)Nc1ccccc1C,0.85
c1ccc2cnccc2c1,2.08
c1ccc2ncccc2c1,2.03
Cc1ccc2ccccc2n1,2.59
N#CCc1ccccc1,1.56
c1ccc2nc3ccccc3cc2c1,3.4
Cc1ccccn1,1.11
Nc1cc(C(F)(F)F)cc(C(F)(F)F)c1,3.57
Cc1ccnc2ccccc12,2.61
O=[N+]([O-])Cc1ccccc1,1.75
c1ccc2c(c1)[nH]c1ccccc12,3.72
Nc1ccc(-c2ccc(N)cc2)cc1,1.34
CNc1ccccc1,1.66
COC(=O)c1ccc(C(=O)OC)cc1,2.25
O=Cc1cccc(O)c1,1.38
CCNC(=S)NCC,0.57
c1ccc(NNc2ccccc2)cc1,2.94
Nc1ccc(-c2ccc(N)c(Cl)c2)cc1Cl,3.51
O=[N+]([O-])c1ccc(Br)cc1,2.55
CCCCOCCOCCSC#N,1.68
O=[N+]([O-])c1cccc(I)c1,2.94
Nc1ccc(Cl)cc1[N+](=O)[O-],2.72
NNC(=O)c1cccc([N+](=O)[O-])c1,0.23
Cc1cccc2ccccc12,3.87
Cc1ccc2ccccc2c1,3.86
CCC(CO)(CO)CO,-1.48
CC(C)(O)C(F)(F)F,1.04
CC(O)C(F)(F)F,0.71
CC(=O)c1ccccc1[N+](=O)[O-],1.28
CCCCC[N+](=O)[O-],2.01
CCCC[N+](=O)[O-],1.47
CC(C)(C)[N+](=O)[O-],1.17
CC(C)C[N+](=O)[O-],1.4
Cc1ccc(O)cc1,1.94
CC(C)(C)c1ccc(O)cc1,3.31
CC(=O)c1ccc(O)cc1,1.35
ClC(Cl)=C(Cl)C(Cl)=C(Cl)Cl,4.78
CCCCCCCO,2.62
CCCCC(C)O,1.76
CCCCCCC(C)=O,2.37
CCCCCCCCCC(=O)OC,4.41
CC1CCC(O)CC1,1.79
CC(=O)CCC(=O)O,-0.49
O=C(O)c1cc2ccccc2cc1O,3.05
C=Nc1cccc2c(O)c3ccccc3c(O)c12,4.1
CCCCCCCCCCCCO,5.13
CCCCNC(=S)NCCCC,2.75
N#CCC#N,-0.6
O=C(O)c1ccccc1I,2.4
O=C(O)c1ccc(I)cc1,3.02
COc1ccc(C#N)cc1,1.7
COc1ccccc1C(=O)O,1.59
COC(=O)c1ccc(N)cc1,1.37
