smiles,logP,pH,Temperature
O=c1[nH]c2c(O)ccc(CCNCCS(=O)(=O)CCCOCCc3ccc(NS(=O)(=O)c4ccccc4)cc3)c2s1,2.88,7.4,
O=c1[nH]c2c(O)ccc(CCNCCS(=O)(=O)CCCOCCCCc3ccccc3)c2s1,3.62,7.4,
O=c1[nH]c2c(O)ccc(CCNCCS(=O)(=O)CCCOCCCc3ccccc3)c2s1,3.13,7.4,
O=c1[nH]c2c(O)ccc(CCNCCS(=O)(=O)CCCOCCc3ccc(O)cc3)c2s1,1.91,7.4,
O=c1[nH]c2c(O)ccc(CCNCCCS(=O)(=O)CCSCCc3ccccc3)c2s1,2.34,7.4,
NC(=O)c1ccc(CCOCCCS(=O)(=O)CCNCCc2ccc(O)c3[nH]c(=O)sc23)cc1,1.1,7.4,
Cc1cnc(CCOCCCS(=O)(=O)CCNCCc2ccc(O)c3[nH]c(=O)sc23)s1,2.87,7.4,
O=c1[nH]c2c(O)ccc(CCNCCCNS(=O)(=O)CCOCCc3ccccc3)c2s1,1.22,7.4,
O=c1[nH]c2c(O)ccc(CCNCCCS(=O)(=O)NCCOCc3ccccc3)c2s1,1.11,7.4,
O=c1[nH]c2c(O)ccc(CCNCCCS(=O)(=O)NCCOCCc3ccccc3)c2s1,1.46,7.4,
O=c1[nH]c2c(O)ccc(CCNCCNS(=O)(=O)CCCOCCc3ccccc3)c2s1,1.83,7.4,
O=c1[nH]c2c(O)ccc(CCNCCCS(=O)(=O)CCCOCCc3ccccc3)c2s1,1.34,7.4,
O=c1[nH]c2c(O)ccc(CCNCCCS(=O)(=O)CCOCc3ccccc3)c2s1,1.15,7.4,
O=c1[nH]c2c(O)ccc(CCNCCS(=O)(=O)CCCOCCc3nccc4ccccc34)c2s1,2.35,7.4,
O=c1[nH]c2c(O)ccc(CCNCCNS(=O)(=O)CCOCCCc3ccccc3)c2s1,2.22,7.4,
CSc1cccc(CCOCCS(=O)(=O)CCCNCCc2ccc(O)c3[nH]c(=O)sc23)c1,1.63,7.4,
CN(CCCNCCc1ccc(O)c2[nH]c(=O)sc12)S(=O)(=O)CCOCCc1ccccc1,1.24,7.4,
Cc1ncsc1CCOCCCS(=O)(=O)CCNCCc1ccc(O)c2[nH]c(=O)sc12,1.44,7.4,
O=c1[nH]c2c(O)ccc(CCNCCS(=O)(=O)CCCOCCNc3ccccc3)c2s1,1.98,7.4,
Cc1ccc(CCOCCCS(=O)(=O)CCNCCc2ccc(O)c3[nH]c(=O)sc23)nc1,1.56,7.4,
CS(=O)(=O)Nc1ccc(CCOCCCS(=O)(=O)CCNCCc2ccc(O)c3[nH]c(=O)sc23)cc1,1.34,7.4,
O=c1[nH]c2c(O)ccc(CCNCCS(=O)(=O)CCCOCCc3cc4ccccc4o3)c2s1,2.86,7.4,
N#Cc1ccc(CCOCCCS(=O)(=O)CCNCCc2ccc(O)c3[nH]c(=O)sc23)cc1,2.0,7.4,
O=c1[nH]c2c(O)ccc(CCNCCCSCCOCCc3ccccc3)c2s1,3.53,7.4,
O=c1[nH]c2c(O)ccc(CCNCCCS(=O)(=O)NCCSCCc3ccccc3)c2s1,1.77,7.4,
O=c1[nH]c2c(O)ccc(CCNCCCNS(=O)(=O)CCOCc3cccc4ccccc34)c2s1,1.69,7.4,
O=c1[nH]c2c(O)ccc(CCNCCCS(=O)(=O)NCCOCCc3ccc(F)cc3)c2s1,1.57,7.4,
Cc1ccccc1CCOCCCS(=O)(=O)CCNCCc1ccc(O)c2[nH]c(=O)sc12,2.84,7.4,
O=c1[nH]c2c(O)ccc(CCNCCS(=O)(=O)CCCOCCSc3ccccc3)c2s1,2.68,7.4,
CC(COCCCS(=O)(=O)CCNCCc1ccc(O)c2[nH]c(=O)sc12)c1ccccc1,2.32,7.4,
CN(CCCOCCOCCc1ccccc1)CCc1ccc(O)c2[nH]c(=O)sc12,2.44,7.4,
Cc1ccc(CCCOCCS(=O)(=O)CCCNCCc2ccc(O)c3[nH]c(=O)sc23)s1,2.41,7.4,
CCCN(CCCOCCOCCc1ccccc1)CCc1ccc(O)c2[nH]c(=O)sc12,2.74,7.4,
O=c1[nH]c2c(O)ccc(CCNCCCS(=O)(=O)NCCOCCc3cccc(C(F)(F)F)c3)c2s1,2.62,7.4,
Cc1cc(C)cc(CCOCCS(=O)(=O)NCCNCCc2ccc(O)c3[nH]c(=O)sc23)c1,2.59,7.4,
CN(CCc1ccc(O)c2[nH]c(=O)sc12)CCN(C)C(=O)CCOCCc1ccccc1,2.59,7.4,
CC(Cc1ccccc1)OCCCS(=O)(=O)CCNCCc1ccc(O)c2[nH]c(=O)sc12,1.81,7.4,
O=c1[nH]c2c(O)ccc(CCNCCCS(=O)(=O)NCCOCCc3cccc(Cl)c3)c2s1,1.92,7.4,
O=c1[nH]c2c(O)ccc(CCNCCCS(=O)(=O)NCCOCCSc3ccccc3)c2s1,1.84,7.4,
Cc1ccc(CCOCCNS(=O)(=O)CCCNCCc2ccc(O)c3[nH]c(=O)sc23)cc1,2.07,7.4,
Cc1cccc(C#Cc2ccccc2)n1,3.5,,
C(#Cc1nccs1)c1ccccc1,3.2,,
C(#Cc1cscn1)c1ccccc1,2.6,,
Cc1csc(C#Cc2ccccc2)n1,3.6,,
Cc1nc(C#Cc2ccccc2)cs1,3.3,,
Cc1nc(C#Cc2ccccn2)cs1,1.9,,
Cc1nc(C#Cc2cccnc2)cs1,2.1,,
Cc1nc(C#Cc2ccncc2)cs1,2.1,,
COC(=O)CC(CN)c1ccc(Cl)cc1,0.48,7.3,
CCOC(=O)CC(CN)c1ccc(Cl)cc1,0.77,7.3,
CCCOC(=O)CC(CN)c1ccc(Cl)cc1,1.31,7.3,
CC(C)OC(=O)CC(CN)c1ccc(Cl)cc1,1.27,7.3,
CCCCOC(=O)CC(CN)c1ccc(Cl)cc1,1.42,7.3,
Cc1cc(C)nc(OC(C(=O)O)C2(c3ccccc3)NCC(=O)N(C)c3ccccc32)n1,-2.0,7.4,
Cc1cc(C)nc(OC(C(=O)O)C2(c3ccccc3)NCC(=O)N(c3c(F)cc(F)cc3F)c3ccccc32)n1,0.4,7.4,
CCCCc1cccc(C2(C(Oc3nc(C)cc(C)n3)C(=O)O)NCC(=O)N(Cc3c(F)cc(F)cc3F)c3ccccc32)c1,2.3,7.4,
Cc1cc(C)nc(OC(C(=O)O)C2(c3cccc(-c4ccccc4)c3)NCC(=O)N(Cc3c(F)cc(F)cc3F)c3ccccc32)n1,1.8,7.4,
Cc1cc(C)cc(OC(C(=O)O)C2(c3ccccc3)NCC(=O)N(Cc3c(F)cc(F)cc3F)c3ccccc32)c1,2.1,7.4,
CN(CCCN=c1[nH]c2ccccc2n2cccc12)CCCN=c1[nH]c2ccccc2n2cccc12,4.12,7.4,
CN(CCCN=c1[nH]c2ccc(Cl)cc2n2cccc12)CCCN=c1[nH]c2ccc(Cl)cc2n2cccc12,4.44,7.4,
COc1ccc2c(c1)[nH]c(=NCCCN(C)CCCN=c1[nH]c3cc(OC)ccc3n3cccc13)c1cccn12,3.55,7.4,
COc1ccc2[nH]c(=NCCCN(C)CCCN=c3[nH]c4ccc(OC)cc4n4cccc34)c3cccn3c2c1,3.41,7.4,
Clc1ccc2[nH]c(=NCCCNCCCN=c3[nH]c4ccc(Cl)cc4n4cccc34)c3cccn3c2c1,5.06,7.4,
COc1ccc2c(c1)[nH]c(=NCCCNCCCN=c1[nH]c3cc(OC)ccc3n3cccc13)c1cccn12,2.76,7.4,
COc1ccc2[nH]c(=NCCCNCCCN=c3[nH]c4ccc(OC)cc4n4cccc34)c3cccn3c2c1,2.58,7.4,
c1ccc2c(c1)[nH]c(=NCCCN1CCN(CCCN=c3[nH]c4ccccc4n4cccc34)CC1)c1cccn12,2.52,7.4,
Clc1ccc2[nH]c(=NCCCN3CCN(CCCN=c4[nH]c5ccc(Cl)cc5n5cccc45)CC3)c3cccn3c2c1,4.92,7.4,
COc1ccc2c(c1)[nH]c(=NCCCN1CCN(CCCN=c3[nH]c4cc(OC)ccc4n4cccc34)CC1)c1cccn12,3.72,7.4,
COc1ccc2[nH]c(=NCCCN3CCN(CCCN=c4[nH]c5ccc(OC)cc5n5cccc45)CC3)c3cccn3c2c1,4.67,7.4,
c1cnc2c(c1)[nH]c(=NCCCN1CCN(CCCN=c3[nH]c4cccnc4n4cccc34)CC1)c1cccn12,5.05,7.4,
COc1ccc2[nH]c(=NCCCN3CCN(CCCN=c4[nH]c5ccc(OC)nc5n5cccc45)CC3)c3cccn3c2n1,4.73,7.4,
COc1ccc2c(c1)[nH]c(=NCCCN1CCN(CCCN=c3[nH]c4cc(OC)ccc4n4c(Cl)ccc34)CC1)c1ccc(Cl)n12,5.74,7.4,
[O-][n+]1[nH]c(=NCCCCCCN=c2c3ccccc3[nH]c3ccccc23)[n+]([O-])c2ccccc21,1.69,7.4,
