logP,smiles,Temperature,pH
-0.56,N=C(N)N=c1[nH]c(CSCCC(=N)NS(N)(=O)=O)cs1,25.0,6.89
-0.56,N=C(N)N=c1[nH]c(CSCCC(=N)NS(N)(=O)=O)cs1,25.0,8.2
3.39,N#CC(C#N)=NNc1ccc(Cl)cc1,25.0,7.2
3.38,N#CC(C#N)=NNc1cccc(Cl)c1,25.0,5.0
3.39,N#CC(C#N)=NNc1ccc(Cl)cc1,25.0,3.0
3.39,N#CC(C#N)=NNc1ccc(Cl)cc1,25.0,5.0
3.38,N#CC(C#N)=NNc1cccc(Cl)c1,25.0,7.2
3.38,N#CC(C#N)=NNc1cccc(Cl)c1,25.0,3.0
2.9,N#CC(C#N)=NNc1ccccc1[N+](=O)[O-],25.0,5.0
2.9,N#CC(C#N)=NNc1ccccc1[N+](=O)[O-],25.0,7.2
2.37,N#CC(C#N)=NNc1ccc([N+](=O)[O-])cc1,25.0,5.0
2.37,N#CC(C#N)=NNc1ccc([N+](=O)[O-])cc1,25.0,7.2
0.83,CC(=O)c1ccc(N)cc1,37.0,10.66
2.37,N#CC(C#N)=NNc1ccc([N+](=O)[O-])cc1,25.0,3.0
2.9,N#CC(C#N)=NNc1ccccc1[N+](=O)[O-],25.0,3.0
2.64,N#CC(C#N)=NNc1ccccc1,25.0,7.2
2.64,N#CC(C#N)=NNc1ccccc1,25.0,5.0
2.64,N#CC(C#N)=NNc1ccccc1,25.0,3.0
2.28,N#CC(C#N)=NNc1cccc(O)c1,25.0,3.0
2.28,N#CC(C#N)=NNc1cccc(O)c1,25.0,5.0
2.28,N#CC(C#N)=NNc1cccc(O)c1,25.0,7.2
1.96,Oc1cccc2cccnc12,20.0,7.75
1.96,Oc1cccc2cccnc12,20.0,6.36
1.96,Oc1cccc2cccnc12,20.0,8.55
1.96,Oc1cccc2cccnc12,20.0,5.83
1.96,Oc1cccc2cccnc12,20.0,9.57
1.96,Oc1cccc2cccnc12,20.0,4.03
1.96,Oc1cccc2cccnc12,20.0,9.7
1.96,Oc1cccc2cccnc12,20.0,9.83
1.96,Oc1cccc2cccnc12,20.0,9.95
1.96,Oc1cccc2cccnc12,20.0,9.76
1.96,Oc1cccc2cccnc12,20.0,11.07
1.96,Oc1cccc2cccnc12,25.0,7.36
1.77,O=C(N=c1cn[nH]s1)Nc1ccccc1,25.0,7.0
2.13,O=C(O)/C=C/c1ccccc1,25.0,3.48
2.13,O=C(O)/C=C\c1ccccc1,18.0,2.62
1.19,CC(=O)Oc1ccccc1C(=O)O,30.0,3.0
1.19,CC(=O)Oc1ccccc1C(=O)O,25.0,2.0
1.19,CC(=O)Oc1ccccc1C(=O)O,25.0,4.0
1.19,CC(=O)Oc1ccccc1C(=O)O,22.0,7.4
1.19,CC(=O)Oc1ccccc1C(=O)O,22.0,5.0
1.19,CC(=O)Oc1ccccc1C(=O)O,25.6,4.33
1.19,CC(=O)Oc1ccccc1C(=O)O,25.0,6.5
1.19,CC(=O)Oc1ccccc1C(=O)O,37.0,1.0
1.19,CC(=O)Oc1ccccc1C(=O)O,22.0,1.2
1.52,COC(=O)N=c1[nH]c2ccccc2[nH]1,20.0,8.0
1.52,COC(=O)N=c1[nH]c2ccccc2[nH]1,20.0,7.0
0.05,Nc1ccc(S(=O)(=O)N=c2[nH]ccs2)cc1,37.0,6.75
0.05,Nc1ccc(S(=O)(=O)N=c2[nH]ccs2)cc1,37.0,7.89
0.05,Nc1ccc(S(=O)(=O)N=c2[nH]ccs2)cc1,25.0,7.51
0.05,Nc1ccc(S(=O)(=O)N=c2[nH]ccs2)cc1,25.0,7.25
0.05,Nc1ccc(S(=O)(=O)N=c2[nH]ccs2)cc1,25.0,7.28
0.05,Nc1ccc(S(=O)(=O)N=c2[nH]ccs2)cc1,25.0,7.3
0.05,Nc1ccc(S(=O)(=O)N=c2[nH]ccs2)cc1,25.0,7.23
0.05,Nc1ccc(S(=O)(=O)N=c2[nH]ccs2)cc1,37.0,7.59
0.05,Nc1ccc(S(=O)(=O)N=c2[nH]ccs2)cc1,37.0,7.4
0.05,Nc1ccc(S(=O)(=O)N=c2[nH]ccs2)cc1,25.0,7.64
0.05,Nc1ccc(S(=O)(=O)N=c2[nH]ccs2)cc1,37.0,7.68
0.05,Nc1ccc(S(=O)(=O)N=c2[nH]ccs2)cc1,37.0,7.71
0.05,Nc1ccc(S(=O)(=O)N=c2[nH]ccs2)cc1,37.0,7.44
0.05,Nc1ccc(S(=O)(=O)N=c2[nH]ccs2)cc1,25.0,7.61
0.05,Nc1ccc(S(=O)(=O)N=c2[nH]ccs2)cc1,37.0,6.5
0.05,Nc1ccc(S(=O)(=O)N=c2[nH]ccs2)cc1,37.0,7.35
0.05,Nc1ccc(S(=O)(=O)N=c2[nH]ccs2)cc1,25.0,8.06
0.05,Nc1ccc(S(=O)(=O)N=c2[nH]ccs2)cc1,37.0,7.81
0.05,Nc1ccc(S(=O)(=O)N=c2[nH]ccs2)cc1,37.0,4.61
0.05,Nc1ccc(S(=O)(=O)N=c2[nH]ccs2)cc1,37.0,7.9
0.05,Nc1ccc(S(=O)(=O)N=c2[nH]ccs2)cc1,37.0,7.79
0.05,Nc1ccc(S(=O)(=O)N=c2[nH]ccs2)cc1,25.0,6.48
0.05,Nc1ccc(S(=O)(=O)N=c2[nH]ccs2)cc1,25.0,6.67
0.05,Nc1ccc(S(=O)(=O)N=c2[nH]ccs2)cc1,25.0,6.85
0.05,Nc1ccc(S(=O)(=O)N=c2[nH]ccs2)cc1,37.0,6.88
0.05,Nc1ccc(S(=O)(=O)N=c2[nH]ccs2)cc1,37.0,6.49
0.05,Nc1ccc(S(=O)(=O)N=c2[nH]ccs2)cc1,37.0,6.72
0.05,Nc1ccc(S(=O)(=O)N=c2[nH]ccs2)cc1,25.0,7.38
0.05,Nc1ccc(S(=O)(=O)N=c2[nH]ccs2)cc1,25.0,7.32
0.05,Nc1ccc(S(=O)(=O)N=c2[nH]ccs2)cc1,25.0,6.32
0.05,Nc1ccc(S(=O)(=O)N=c2[nH]ccs2)cc1,25.0,6.17
0.05,Nc1ccc(S(=O)(=O)N=c2[nH]ccs2)cc1,25.0,6.12
0.05,Nc1ccc(S(=O)(=O)N=c2[nH]ccs2)cc1,37.0,5.8
0.05,Nc1ccc(S(=O)(=O)N=c2[nH]ccs2)cc1,37.0,5.89
0.05,Nc1ccc(S(=O)(=O)N=c2[nH]ccs2)cc1,37.0,7.78
