,logP,smiles,Temperature,pH
6873,2.6,[H][c]1[c]([H])[c]([H])[c]([O][c]2[c]([H])[c]([N+](=[O])[O-])[c]([H])[c]([H])[c]2[N]([H])[S](=[O])(=[O])[C]([H])([H])[H])[c]([H])[c]1[H],25.0,9.52
6892,1.77,[H][O][C](=[O])[C]([H])([O][c]1[c]([H])[c]([H])[c]([Cl])[c]([H])[c]1[Cl])[C]([H])([H])[H],20.0,7.0
6901,2.69,[H][N]([c]1[n][c]([O][C]([H])([H])[H])[n][c]([N]([H])[C]([H])([C]([H])([H])[H])[C]([H])([H])[H])[n]1)[C]([H])([H])[C]([H])([H])[H],26.0,3.0
6912,-1.66,[H][O][C]([H])([H])[C]([H])([O][C]([H])([H])[n]1[c]([H])[n][c]2[c](=[O])[n]([H])[c]([N]([H])[H])[n][c]21)[C]([H])([H])[O][H],23.0,8.0
6913,-1.66,[H][O][C]([H])([H])[C]([H])([O][C]([H])([H])[n]1[c]([H])[n][c]2[c](=[O])[n]([H])[c]([N]([H])[H])[n][c]21)[C]([H])([H])[O][H],25.0,7.0
6923,-2.74,[H][O][C](=[O])[C]([H])([N]([H])[H])[C]([H])([H])[c]1[c]([H])[c]([H])[c]([O][H])[c]([O][H])[c]1[H],20.0,7.4
6929,-0.96,[H][O][C]([H])([H])[C]1([H])[O][C]([H])([n]2[c]([H])[c]([I])[c](=[O])[n]([H])[c]2=[O])[C]([H])([H])[C]1([H])[O][H],25.0,7.4
6941,3.79,[H][c]1[c]([H])[c]([C]([H])([H])[C]([H])([H])[N]([C]([H])([H])[H])[C]([H])([H])[C]([H])([H])[C]([H])([H])[C]([C]#[N])([c]2[c]([H])[c]([H])[c]([O][C]([H])([H])[H])[c]([O][C]([H])([H])[H])[c]2[H])[C]([H])([C]([H])([H])[H])[C]([H])([H])[H])[c]([H])[c]([O][C]([H])([H])[H])[c]1[O][C]([H])([H])[H],37.0,7.0
6942,3.79,[H][c]1[c]([H])[c]([C]([H])([H])[C]([H])([H])[N]([C]([H])([H])[H])[C]([H])([H])[C]([H])([H])[C]([H])([H])[C]([C]#[N])([c]2[c]([H])[c]([H])[c]([O][C]([H])([H])[H])[c]([O][C]([H])([H])[H])[c]2[H])[C]([H])([C]([H])([H])[H])[C]([H])([H])[H])[c]([H])[c]([O][C]([H])([H])[H])[c]1[O][C]([H])([H])[H],37.0,6.0
6943,3.79,[H][c]1[c]([H])[c]([C]([H])([H])[C]([H])([H])[N]([C]([H])([H])[H])[C]([H])([H])[C]([H])([H])[C]([H])([H])[C]([C]#[N])([c]2[c]([H])[c]([H])[c]([O][C]([H])([H])[H])[c]([O][C]([H])([H])[H])[c]2[H])[C]([H])([C]([H])([H])[H])[C]([H])([H])[H])[c]([H])[c]([O][C]([H])([H])[H])[c]1[O][C]([H])([H])[H],37.0,5.0
6948,1.85,[H][O][C]1([H])[C]([H])([H])[C]([H])([O][C]2([H])[C]([H])([C]([H])([H])[H])[O][C]([H])([O][C]3([H])[C]([H])([C]([H])([H])[H])[O][C]([H])([O][C]4([H])[C]([H])([H])[C]([H])([H])[C]5([C]([H])([H])[H])[C]([H])([C]([H])([H])[C]([H])([H])[C]6([H])[C]5([H])[C]([H])([H])[C]([H])([H])[C]5([C]([H])([H])[H])[C]([H])([C]7=[C]([H])[C](=[O])[O][C]7([H])[H])[C]([H])([H])[C]([H])([H])[C]65[O][H])[C]4([H])[H])[C]([H])([H])[C]3([H])[O][H])[C]([H])([H])[C]2([H])[O][H])[O][C]([H])([C]([H])([H])[H])[C]1([H])[O][H],20.0,7.4
6951,4.13,[H][O][C](=[O])[C]([H])([c]1[c]([H])[c]([H])[c]([C]([H])([H])[C]([H])([C]([H])([H])[H])[C]([H])([H])[H])[c]([H])[c]1[H])[C]([H])([H])[H],22.0,7.0
6952,4.13,[H][O][C](=[O])[C]([H])([c]1[c]([H])[c]([H])[c]([C]([H])([H])[C]([H])([C]([H])([H])[H])[C]([H])([H])[H])[c]([H])[c]1[H])[C]([H])([H])[H],22.0,7.5
6953,4.27,[H][O][C](=[O])[C]([H])([H])[c]1[c]([C]([H])([H])[H])[n]([C](=[O])[c]2[c]([H])[c]([H])[c]([Cl])[c]([H])[c]2[H])[c]2[c]([H])[c]([H])[c]([O][C]([H])([H])[H])[c]([H])[c]12,22.0,7.5
6954,3.16,[H][O][C](=[O])[C]([H])([c]1[c]([H])[c]([H])[c]([H])[c]([C](=[O])[c]2[c]([H])[c]([H])[c]([H])[c]([H])[c]2[H])[c]1[H])[C]([H])([H])[H],22.0,7.0
6955,3.16,[H][O][C](=[O])[C]([H])([c]1[c]([H])[c]([H])[c]([H])[c]([C](=[O])[c]2[c]([H])[c]([H])[c]([H])[c]([H])[c]2[H])[c]1[H])[C]([H])([H])[H],22.0,7.5
6956,3.24,[H][O][C](=[O])[C]([H])([c]1[c]([H])[c]([H])[c]2[c]([H])[c]([O][C]([H])([H])[H])[c]([H])[c]([H])[c]2[c]1[H])[C]([H])([H])[H],22.0,7.5
6957,1.59,[H][O][C](=[O])[c]1[c]([N]([H])[c]2[c]([H])[c]([H])[c]([H])[c]([C]([F])([F])[F])[c]2[H])[n][c]([H])[c]([H])[c]1[H],22.0,7.0
6958,1.59,[H][O][C](=[O])[c]1[c]([N]([H])[c]2[c]([H])[c]([H])[c]([H])[c]([C]([F])([F])[F])[c]2[H])[n][c]([H])[c]([H])[c]1[H],22.0,7.5
6959,2.72,[H][O][c]1[c]([H])[c]([H])[c]([N]2[C](=[O])[C]([H])([C]([H])([H])[C]([H])([H])[C]([H])([H])[C]([H])([H])[H])[C](=[O])[N]2[c]2[c]([H])[c]([H])[c]([H])[c]([H])[c]2[H])[c]([H])[c]1[H],22.0,7.0
6960,2.72,[H][O][c]1[c]([H])[c]([H])[c]([N]2[C](=[O])[C]([H])([C]([H])([H])[C]([H])([H])[C]([H])([H])[C]([H])([H])[H])[C](=[O])[N]2[c]2[c]([H])[c]([H])[c]([H])[c]([H])[c]2[H])[c]([H])[c]1[H],22.0,7.5
6961,3.16,[H][c]1[c]([H])[c]([H])[c]([N]2[C](=[O])[C]([H])([C]([H])([H])[C]([H])([H])[C]([H])([H])[C]([H])([H])[H])[C](=[O])[N]2[c]2[c]([H])[c]([H])[c]([H])[c]([H])[c]2[H])[c]([H])[c]1[H],22.0,7.0
6962,3.16,[H][c]1[c]([H])[c]([H])[c]([N]2[C](=[O])[C]([H])([C]([H])([H])[C]([H])([H])[C]([H])([H])[C]([H])([H])[H])[C](=[O])[N]2[c]2[c]([H])[c]([H])[c]([H])[c]([H])[c]2[H])[c]([H])[c]1[H],22.0,7.5
6963,5.25,[H][O][C](=[O])[c]1[c]([H])[c]([H])[c]([H])[c]([H])[c]1[N]([H])[c]1[c]([H])[c]([H])[c]([H])[c]([C]([F])([F])[F])[c]1[H],22.0,7.5
6981,1.84,[H][c]1[c]([H])[c]([H])[c]([C]2([C]([H])([H])[C]([H])([H])[H])[C](=[O])[N]([H])[C](=[O])[N]([C]([H])([H])[H])[C]2=[O])[c]([H])[c]1[H],25.0,5.0
6982,1.84,[H][c]1[c]([H])[c]([H])[c]([C]2([C]([H])([H])[C]([H])([H])[H])[C](=[O])[N]([H])[C](=[O])[N]([C]([H])([H])[H])[C]2=[O])[c]([H])[c]1[H],37.0,5.0
6983,1.84,[H][c]1[c]([H])[c]([H])[c]([C]2([C]([H])([H])[C]([H])([H])[H])[C](=[O])[N]([H])[C](=[O])[N]([C]([H])([H])[H])[C]2=[O])[c]([H])[c]1[H],20.0,5.0
6988,0.37,[H][c]1[c]([O][C]([H])([H])[H])[n][n][c]([N]([H])[S](=[O])(=[O])[c]2[c]([H])[c]([H])[c]([N]([H])[C](=[O])[C]([H])([H])[H])[c]([H])[c]2[H])[c]1[H],37.0,4.5
6989,0.37,[H][c]1[c]([O][C]([H])([H])[H])[n][n][c]([N]([H])[S](=[O])(=[O])[c]2[c]([H])[c]([H])[c]([N]([H])[C](=[O])[C]([H])([H])[H])[c]([H])[c]2[H])[c]1[H],37.0,5.4
6990,0.37,[H][c]1[c]([O][C]([H])([H])[H])[n][n][c]([N]([H])[S](=[O])(=[O])[c]2[c]([H])[c]([H])[c]([N]([H])[C](=[O])[C]([H])([H])[H])[c]([H])[c]2[H])[c]1[H],37.0,4.8
6992,0.37,[H][c]1[c]([O][C]([H])([H])[H])[n][n][c]([N]([H])[S](=[O])(=[O])[c]2[c]([H])[c]([H])[c]([N]([H])[C](=[O])[C]([H])([H])[H])[c]([H])[c]2[H])[c]1[H],37.0,5.9
6993,0.37,[H][c]1[c]([O][C]([H])([H])[H])[n][n][c]([N]([H])[S](=[O])(=[O])[c]2[c]([H])[c]([H])[c]([N]([H])[C](=[O])[C]([H])([H])[H])[c]([H])[c]2[H])[c]1[H],37.0,6.2
6994,0.37,[H][c]1[c]([O][C]([H])([H])[H])[n][n][c]([N]([H])[S](=[O])(=[O])[c]2[c]([H])[c]([H])[c]([N]([H])[C](=[O])[C]([H])([H])[H])[c]([H])[c]2[H])[c]1[H],37.0,7.0
6998,3.72,[H][c]1[n][c]([H])[n]([C]([H])([H])[C]([H])([c]2[c]([H])[c]([H])[c]([Cl])[c]([H])[c]2[Cl])[C]([H])([H])[C]([H])([H])[C]([H])([H])[H])[n]1,25.0,5.7
6999,3.72,[H][c]1[n][c]([H])[n]([C]([H])([H])[C]([H])([c]2[c]([H])[c]([H])[c]([Cl])[c]([H])[c]2[Cl])[C]([H])([H])[C]([H])([H])[C]([H])([H])[H])[n]1,20.0,5.7
7014,0.11,[H][O][C](=[O])[c]1[c]([C]2=[N][C]([C]([H])([H])[H])([C]([H])([C]([H])([H])[H])[C]([H])([H])[H])[C](=[O])[N]2[H])[n][c]([H])[c]([H])[c]1[H],25.0,2.8052
7050,1.99,[H][O][c]1[c]([H])[c]([H])[c]([H])[c]([H])[c]1[C](=[O])[O][C]([H])([H])[C](=[O])[N]([C]([H])([H])[C]([H])([H])[H])[C]([H])([H])[C]([H])([H])[H],21.0,7.4
7066,1.64,[H][c]1[c]([H])[c]([S](=[O])(=[O])[N]([H])[C](=[O])[N]([H])[N]2[C]([H])([H])[C]([H])([H])[C]([H])([H])[C]([H])([H])[C]([H])([H])[C]2([H])[H])[c]([H])[c]([H])[c]1[Cl],37.0,7.2
7067,-0.52,[H][O][C](=[O])[C]([H])([N]([H])[H])[C]([H])([H])[c]1[c]([H])[c]([H])[c]([N]([C]([H])([H])[C]([H])([H])[Cl])[C]([H])([H])[C]([H])([H])[Cl])[c]([H])[c]1[H],30.0,7.06
7076,2.49,[H][c]1[c]([H])[c]([S](=[O])(=[O])[N]([H])[C](=[O])[N]([H])[C]2([H])[C]([H])([H])[C]([H])([H])[C]([H])([H])[C]2([H])[H])[c]([H])[c]([H])[c]1[C]([H])([H])[H],37.0,6.49
7077,2.49,[H][c]1[c]([H])[c]([S](=[O])(=[O])[N]([H])[C](=[O])[N]([H])[C]2([H])[C]([H])([H])[C]([H])([H])[C]([H])([H])[C]2([H])[H])[c]([H])[c]([H])[c]1[C]([H])([H])[H],37.0,5.62
7078,2.49,[H][c]1[c]([H])[c]([S](=[O])(=[O])[N]([H])[C](=[O])[N]([H])[C]2([H])[C]([H])([H])[C]([H])([H])[C]([H])([H])[C]2([H])[H])[c]([H])[c]([H])[c]1[C]([H])([H])[H],37.0,6.74
7079,2.49,[H][c]1[c]([H])[c]([S](=[O])(=[O])[N]([H])[C](=[O])[N]([H])[C]2([H])[C]([H])([H])[C]([H])([H])[C]([H])([H])[C]2([H])[H])[c]([H])[c]([H])[c]1[C]([H])([H])[H],37.0,6.59
7080,2.49,[H][c]1[c]([H])[c]([S](=[O])(=[O])[N]([H])[C](=[O])[N]([H])[C]2([H])[C]([H])([H])[C]([H])([H])[C]([H])([H])[C]2([H])[H])[c]([H])[c]([H])[c]1[C]([H])([H])[H],37.0,5.78
7081,2.49,[H][c]1[c]([H])[c]([S](=[O])(=[O])[N]([H])[C](=[O])[N]([H])[C]2([H])[C]([H])([H])[C]([H])([H])[C]([H])([H])[C]2([H])[H])[c]([H])[c]([H])[c]1[C]([H])([H])[H],37.0,6.22
7082,2.49,[H][c]1[c]([H])[c]([S](=[O])(=[O])[N]([H])[C](=[O])[N]([H])[C]2([H])[C]([H])([H])[C]([H])([H])[C]([H])([H])[C]2([H])[H])[c]([H])[c]([H])[c]1[C]([H])([H])[H],37.0,3.35
7083,2.49,[H][c]1[c]([H])[c]([S](=[O])(=[O])[N]([H])[C](=[O])[N]([H])[C]2([H])[C]([H])([H])[C]([H])([H])[C]([H])([H])[C]2([H])[H])[c]([H])[c]([H])[c]1[C]([H])([H])[H],37.0,6.32
7084,2.49,[H][c]1[c]([H])[c]([S](=[O])(=[O])[N]([H])[C](=[O])[N]([H])[C]2([H])[C]([H])([H])[C]([H])([H])[C]([H])([H])[C]2([H])[H])[c]([H])[c]([H])[c]1[C]([H])([H])[H],37.0,6.1
7085,2.49,[H][c]1[c]([H])[c]([S](=[O])(=[O])[N]([H])[C](=[O])[N]([H])[C]2([H])[C]([H])([H])[C]([H])([H])[C]([H])([H])[C]2([H])[H])[c]([H])[c]([H])[c]1[C]([H])([H])[H],37.0,4.37
7087,2.49,[H][c]1[c]([H])[c]([S](=[O])(=[O])[N]([H])[C](=[O])[N]([H])[C]2([H])[C]([H])([H])[C]([H])([H])[C]([H])([H])[C]2([H])[H])[c]([H])[c]([H])[c]1[C]([H])([H])[H],37.0,3.61
7088,2.49,[H][c]1[c]([H])[c]([S](=[O])(=[O])[N]([H])[C](=[O])[N]([H])[C]2([H])[C]([H])([H])[C]([H])([H])[C]([H])([H])[C]2([H])[H])[c]([H])[c]([H])[c]1[C]([H])([H])[H],37.0,4.72
7089,2.49,[H][c]1[c]([H])[c]([S](=[O])(=[O])[N]([H])[C](=[O])[N]([H])[C]2([H])[C]([H])([H])[C]([H])([H])[C]([H])([H])[C]2([H])[H])[c]([H])[c]([H])[c]1[C]([H])([H])[H],37.0,5.26
7090,2.49,[H][c]1[c]([H])[c]([S](=[O])(=[O])[N]([H])[C](=[O])[N]([H])[C]2([H])[C]([H])([H])[C]([H])([H])[C]([H])([H])[C]2([H])[H])[c]([H])[c]([H])[c]1[C]([H])([H])[H],37.0,5.16
7091,2.49,[H][c]1[c]([H])[c]([S](=[O])(=[O])[N]([H])[C](=[O])[N]([H])[C]2([H])[C]([H])([H])[C]([H])([H])[C]([H])([H])[C]2([H])[H])[c]([H])[c]([H])[c]1[C]([H])([H])[H],37.0,6.35
7092,2.49,[H][c]1[c]([H])[c]([S](=[O])(=[O])[N]([H])[C](=[O])[N]([H])[C]2([H])[C]([H])([H])[C]([H])([H])[C]([H])([H])[C]2([H])[H])[c]([H])[c]([H])[c]1[C]([H])([H])[H],37.0,6.41
7093,2.49,[H][c]1[c]([H])[c]([S](=[O])(=[O])[N]([H])[C](=[O])[N]([H])[C]2([H])[C]([H])([H])[C]([H])([H])[C]([H])([H])[C]2([H])[H])[c]([H])[c]([H])[c]1[C]([H])([H])[H],37.0,3.94
7095,2.49,[H][c]1[c]([H])[c]([S](=[O])(=[O])[N]([H])[C](=[O])[N]([H])[C]2([H])[C]([H])([H])[C]([H])([H])[C]([H])([H])[C]2([H])[H])[c]([H])[c]([H])[c]1[C]([H])([H])[H],37.0,5.54
7100,4.13,[H][O][C](=[O])[C]([H])([c]1[c]([H])[c]([H])[c]([C]([H])([H])[C]([H])([C]([H])([H])[H])[C]([H])([H])[H])[c]([H])[c]1[H])[C]([H])([H])[H],32.0,5.5
7101,4.13,[H][O][C](=[O])[C]([H])([c]1[c]([H])[c]([H])[c]([C]([H])([H])[C]([H])([C]([H])([H])[H])[C]([H])([H])[H])[c]([H])[c]1[H])[C]([H])([H])[H],25.0,2.0
7104,4.13,[H][O][C](=[O])[C]([H])([c]1[c]([H])[c]([H])[c]([C]([H])([H])[C]([H])([C]([H])([H])[H])[C]([H])([H])[H])[c]([H])[c]1[H])[C]([H])([H])[H],22.0,1.2
7106,4.13,[H][O][C](=[O])[C]([H])([c]1[c]([H])[c]([H])[c]([C]([H])([H])[C]([H])([C]([H])([H])[H])[C]([H])([H])[H])[c]([H])[c]1[H])[C]([H])([H])[H],22.0,5.0
7107,4.13,[H][O][C](=[O])[C]([H])([c]1[c]([H])[c]([H])[c]([C]([H])([H])[C]([H])([C]([H])([H])[H])[C]([H])([H])[H])[c]([H])[c]1[H])[C]([H])([H])[H],22.0,7.4
7108,4.13,[H][O][C](=[O])[C]([H])([c]1[c]([H])[c]([H])[c]([C]([H])([H])[C]([H])([C]([H])([H])[H])[C]([H])([H])[H])[c]([H])[c]1[H])[C]([H])([H])[H],22.0,6.5
7109,4.13,[H][O][C](=[O])[C]([H])([c]1[c]([H])[c]([H])[c]([C]([H])([H])[C]([H])([C]([H])([H])[H])[C]([H])([H])[H])[c]([H])[c]1[H])[C]([H])([H])[H],22.0,6.0
7110,4.13,[H][O][C](=[O])[C]([H])([c]1[c]([H])[c]([H])[c]([C]([H])([H])[C]([H])([C]([H])([H])[H])[C]([H])([H])[H])[c]([H])[c]1[H])[C]([H])([H])[H],22.0,2.0
7112,4.13,[H][O][C](=[O])[C]([H])([c]1[c]([H])[c]([H])[c]([C]([H])([H])[C]([H])([C]([H])([H])[H])[C]([H])([H])[H])[c]([H])[c]1[H])[C]([H])([H])[H],22.0,3.0
7114,4.13,[H][O][C](=[O])[C]([H])([c]1[c]([H])[c]([H])[c]([C]([H])([H])[C]([H])([C]([H])([H])[H])[C]([H])([H])[H])[c]([H])[c]1[H])[C]([H])([H])[H],22.0,4.0
7115,4.13,[H][O][C](=[O])[C]([H])([c]1[c]([H])[c]([H])[c]([C]([H])([H])[C]([H])([C]([H])([H])[H])[C]([H])([H])[H])[c]([H])[c]1[H])[C]([H])([H])[H],32.0,4.0
7116,4.13,[H][O][C](=[O])[C]([H])([c]1[c]([H])[c]([H])[c]([C]([H])([H])[C]([H])([C]([H])([H])[H])[C]([H])([H])[H])[c]([H])[c]1[H])[C]([H])([H])[H],25.0,4.0
7117,4.13,[H][O][C](=[O])[C]([H])([c]1[c]([H])[c]([H])[c]([C]([H])([H])[C]([H])([C]([H])([H])[H])[C]([H])([H])[H])[c]([H])[c]1[H])[C]([H])([H])[H],25.0,3.0
7118,4.13,[H][O][C](=[O])[C]([H])([c]1[c]([H])[c]([H])[c]([C]([H])([H])[C]([H])([C]([H])([H])[H])[C]([H])([H])[H])[c]([H])[c]1[H])[C]([H])([H])[H],25.0,6.82
7121,4.13,[H][O][C](=[O])[C]([H])([c]1[c]([H])[c]([H])[c]([C]([H])([H])[C]([H])([C]([H])([H])[H])[C]([H])([H])[H])[c]([H])[c]1[H])[C]([H])([H])[H],25.0,7.5
7122,4.13,[H][O][C](=[O])[C]([H])([c]1[c]([H])[c]([H])[c]([C]([H])([H])[C]([H])([C]([H])([H])[H])[C]([H])([H])[H])[c]([H])[c]1[H])[C]([H])([H])[H],25.0,5.14
7128,4.13,[H][O][C](=[O])[C]([H])([c]1[c]([H])[c]([H])[c]([C]([H])([H])[C]([H])([C]([H])([H])[H])[C]([H])([H])[H])[c]([H])[c]1[H])[C]([H])([H])[H],25.0,7.4
7143,3.95,[H][c]1[c]([H])[c]([N]([H])[H])[c]([H])[c]([H])[c]1[C](=[O])[O][C]([H])([H])[C]([H])([H])[C]([H])([H])[C]([H])([H])[C]([H])([H])[C]([H])([H])[H],24.0,7.4
7148,0.86,[H][O][c]1[c]([H])[c]([H])[c]([C]([H])([H])[C]([H])([C](=[O])[O][C]([H])([H])[C]([H])([H])[C]([H])([H])[C]([H])([H])[H])[N]([H])[H])[c]([H])[c]1[O][H],20.0,7.4
7155,3.9,[H][c]1[c]([F])[c](=[O])[n]([H])[c](=[O])[n]1[C](=[O])[N]([H])[C]([H])([H])[C]([H])([H])[C]([H])([H])[C]([H])([H])[C]([H])([H])[C]([H])([H])[C]([H])([H])[C]([H])([H])[H],37.0,4.0
7163,1.92,[H][c]1[c]([H])[c]([N]([H])[H])[c]([H])[c]([H])[c]1[C](=[O])[O][C]([H])([H])[C]([H])([H])[N]([C]([H])([H])[C]([H])([H])[H])[C]([H])([H])[C]([H])([H])[H],25.0,7.8
7171,1.92,[H][c]1[c]([H])[c]([N]([H])[H])[c]([H])[c]([H])[c]1[C](=[O])[O][C]([H])([H])[C]([H])([H])[N]([C]([H])([H])[C]([H])([H])[H])[C]([H])([H])[C]([H])([H])[H],22.0,9.1
7172,1.92,[H][c]1[c]([H])[c]([N]([H])[H])[c]([H])[c]([H])[c]1[C](=[O])[O][C]([H])([H])[C]([H])([H])[N]([C]([H])([H])[C]([H])([H])[H])[C]([H])([H])[C]([H])([H])[H],25.0,8.02
7176,1.92,[H][c]1[c]([H])[c]([N]([H])[H])[c]([H])[c]([H])[c]1[C](=[O])[O][C]([H])([H])[C]([H])([H])[N]([C]([H])([H])[C]([H])([H])[H])[C]([H])([H])[C]([H])([H])[H],25.0,10.3
7177,1.92,[H][c]1[c]([H])[c]([N]([H])[H])[c]([H])[c]([H])[c]1[C](=[O])[O][C]([H])([H])[C]([H])([H])[N]([C]([H])([H])[C]([H])([H])[H])[C]([H])([H])[C]([H])([H])[H],25.0,9.1
7182,1.92,[H][c]1[c]([H])[c]([N]([H])[H])[c]([H])[c]([H])[c]1[C](=[O])[O][C]([H])([H])[C]([H])([H])[N]([C]([H])([H])[C]([H])([H])[H])[C]([H])([H])[C]([H])([H])[H],25.0,9.33
7183,1.92,[H][c]1[c]([H])[c]([N]([H])[H])[c]([H])[c]([H])[c]1[C](=[O])[O][C]([H])([H])[C]([H])([H])[N]([C]([H])([H])[C]([H])([H])[H])[C]([H])([H])[C]([H])([H])[H],22.0,7.4
7184,1.92,[H][c]1[c]([H])[c]([N]([H])[H])[c]([H])[c]([H])[c]1[C](=[O])[O][C]([H])([H])[C]([H])([H])[N]([C]([H])([H])[C]([H])([H])[H])[C]([H])([H])[C]([H])([H])[H],25.0,8.19
7191,1.92,[H][c]1[c]([H])[c]([N]([H])[H])[c]([H])[c]([H])[c]1[C](=[O])[O][C]([H])([H])[C]([H])([H])[N]([C]([H])([H])[C]([H])([H])[H])[C]([H])([H])[C]([H])([H])[H],25.0,7.9
7193,1.92,[H][c]1[c]([H])[c]([N]([H])[H])[c]([H])[c]([H])[c]1[C](=[O])[O][C]([H])([H])[C]([H])([H])[N]([C]([H])([H])[C]([H])([H])[H])[C]([H])([H])[C]([H])([H])[H],25.0,8.33
7194,1.92,[H][c]1[c]([H])[c]([N]([H])[H])[c]([H])[c]([H])[c]1[C](=[O])[O][C]([H])([H])[C]([H])([H])[N]([C]([H])([H])[C]([H])([H])[H])[C]([H])([H])[C]([H])([H])[H],37.0,7.4
7200,0.88,[H][c]1[c]([H])[c]([N]([H])[H])[c]([H])[c]([H])[c]1[C](=[O])[N]([H])[C]([H])([H])[C]([H])([H])[N]([C]([H])([H])[C]([H])([H])[H])[C]([H])([H])[C]([H])([H])[H],22.0,13.0
7201,0.88,[H][c]1[c]([H])[c]([N]([H])[H])[c]([H])[c]([H])[c]1[C](=[O])[N]([H])[C]([H])([H])[C]([H])([H])[N]([C]([H])([H])[C]([H])([H])[H])[C]([H])([H])[C]([H])([H])[H],22.0,7.4
7216,2.91,[H][N]1[C](=[O])[N]([H])[C](=[O])[C]([C]([H])([H])[C]([H])([H])[H])([C]([H])([H])[C]([H])([H])[C]([H])([H])[C]([H])([H])[C]([H])([H])[C]([H])([H])[C]([H])([H])[H])[C]1=[O],25.0,5.0
7229,3.3,[H][c]1[c]([H])[c]([F])[c](-[c]2[n][n][c](-[c]3[c]([H])[c]([H])[c]([H])[c]([H])[c]3[Cl])[n][n]2)[c]([F])[c]1[H],25.0,7.0
7234,4.1,[H][c]1[c]([H])[c]([H])[c](-[c]2[n][n][c](-[c]3[c]([H])[c]([H])[c]([H])[c]([H])[c]3[Cl])[n][n]2)[c]([Cl])[c]1[H],22.0,5.0
7337,4.8,[H][O][C](=[O])[C]([H])([H])[c]1[c]([H])[c]([H])[c]([H])[c]([H])[c]1[O][c]1[c]([H])[c]([H])[c]([Cl])[c]([H])[c]1[Cl],25.0,5.0
7338,4.8,[H][O][C](=[O])[C]([H])([H])[c]1[c]([H])[c]([H])[c]([H])[c]([H])[c]1[O][c]1[c]([H])[c]([H])[c]([Cl])[c]([H])[c]1[Cl],25.0,3.0
7339,4.8,[H][O][C](=[O])[C]([H])([H])[c]1[c]([H])[c]([H])[c]([H])[c]([H])[c]1[O][c]1[c]([H])[c]([H])[c]([Cl])[c]([H])[c]1[Cl],25.0,4.0
7340,4.8,[H][O][C](=[O])[C]([H])([H])[c]1[c]([H])[c]([H])[c]([H])[c]([H])[c]1[O][c]1[c]([H])[c]([H])[c]([Cl])[c]([H])[c]1[Cl],25.0,2.0
7349,5.25,[H][O][C](=[O])[c]1[c]([H])[c]([H])[c]([H])[c]([H])[c]1[N]([H])[c]1[c]([H])[c]([H])[c]([H])[c]([C]([F])([F])[F])[c]1[H],22.0,5.0
7353,5.25,[H][O][C](=[O])[c]1[c]([H])[c]([H])[c]([H])[c]([H])[c]1[N]([H])[c]1[c]([H])[c]([H])[c]([H])[c]([C]([F])([F])[F])[c]1[H],22.0,7.0
7354,5.25,[H][O][C](=[O])[c]1[c]([H])[c]([H])[c]([H])[c]([H])[c]1[N]([H])[c]1[c]([H])[c]([H])[c]([H])[c]([C]([F])([F])[F])[c]1[H],22.0,6.0
7372,4.4,[H][O][C](=[O])[C]([H])([H])[c]1[c]([H])[c]([H])[c]([H])[c]([H])[c]1[N]([H])[c]1[c]([Cl])[c]([H])[c]([H])[c]([H])[c]1[Cl],22.0,7.4
7373,4.4,[H][O][C](=[O])[C]([H])([H])[c]1[c]([H])[c]([H])[c]([H])[c]([H])[c]1[N]([H])[c]1[c]([Cl])[c]([H])[c]([H])[c]([H])[c]1[Cl],22.0,5.0
7374,4.4,[H][O][C](=[O])[C]([H])([H])[c]1[c]([H])[c]([H])[c]([H])[c]([H])[c]1[N]([H])[c]1[c]([Cl])[c]([H])[c]([H])[c]([H])[c]1[Cl],37.0,3.0
7379,4.4,[H][O][C](=[O])[C]([H])([H])[c]1[c]([H])[c]([H])[c]([H])[c]([H])[c]1[N]([H])[c]1[c]([Cl])[c]([H])[c]([H])[c]([H])[c]1[Cl],30.0,2.0
7380,4.4,[H][O][C](=[O])[C]([H])([H])[c]1[c]([H])[c]([H])[c]([H])[c]([H])[c]1[N]([H])[c]1[c]([Cl])[c]([H])[c]([H])[c]([H])[c]1[Cl],25.0,4.0
7381,4.4,[H][O][C](=[O])[C]([H])([H])[c]1[c]([H])[c]([H])[c]([H])[c]([H])[c]1[N]([H])[c]1[c]([Cl])[c]([H])[c]([H])[c]([H])[c]1[Cl],37.0,7.4
7383,4.4,[H][O][C](=[O])[C]([H])([H])[c]1[c]([H])[c]([H])[c]([H])[c]([H])[c]1[N]([H])[c]1[c]([Cl])[c]([H])[c]([H])[c]([H])[c]1[Cl],25.0,6.5
7384,4.4,[H][O][C](=[O])[C]([H])([H])[c]1[c]([H])[c]([H])[c]([H])[c]([H])[c]1[N]([H])[c]1[c]([Cl])[c]([H])[c]([H])[c]([H])[c]1[Cl],25.0,1.2
7385,4.4,[H][O][C](=[O])[C]([H])([H])[c]1[c]([H])[c]([H])[c]([H])[c]([H])[c]1[N]([H])[c]1[c]([Cl])[c]([H])[c]([H])[c]([H])[c]1[Cl],25.0,2.0
7418,1.15,[H][c]1[c]([H])[c]([H])[c]2[c]([c]1[H])[C](=[O])[N]([C]1([H])[C](=[O])[N]([C]([H])([H])[H])[C](=[O])[C]([H])([H])[C]1([H])[H])[C]2=[O],32.0,6.4
