,logP,smiles,Temperature,pH
1740,4.37,[H][c]1[c]([H])[c]([H])[c]([N]([C](=[O])[C]([H])([H])[C]([H])([H])[H])[C]2([H])[C]([H])([H])[C]([H])([H])[N]([C]([H])([H])[C]([H])([H])[c]3[c]([H])[c]([H])[c]([H])[c]([H])[c]3[H])[C]([H])([H])[C]2([H])[H])[c]([H])[c]1[H],35.0,8.78
1741,4.37,[H][c]1[c]([H])[c]([H])[c]([N]([C](=[O])[C]([H])([H])[C]([H])([H])[H])[C]2([H])[C]([H])([H])[C]([H])([H])[N]([C]([H])([H])[C]([H])([H])[c]3[c]([H])[c]([H])[c]([H])[c]([H])[c]3[H])[C]([H])([H])[C]2([H])[H])[c]([H])[c]1[H],35.0,8.03
1742,4.37,[H][c]1[c]([H])[c]([H])[c]([N]([C](=[O])[C]([H])([H])[C]([H])([H])[H])[C]2([H])[C]([H])([H])[C]([H])([H])[N]([C]([H])([H])[C]([H])([H])[c]3[c]([H])[c]([H])[c]([H])[c]([H])[c]3[H])[C]([H])([H])[C]2([H])[H])[c]([H])[c]1[H],35.0,7.66
1743,4.37,[H][c]1[c]([H])[c]([H])[c]([N]([C](=[O])[C]([H])([H])[C]([H])([H])[H])[C]2([H])[C]([H])([H])[C]([H])([H])[N]([C]([H])([H])[C]([H])([H])[c]3[c]([H])[c]([H])[c]([H])[c]([H])[c]3[H])[C]([H])([H])[C]2([H])[H])[c]([H])[c]1[H],35.0,7.04
1744,4.37,[H][c]1[c]([H])[c]([H])[c]([N]([C](=[O])[C]([H])([H])[C]([H])([H])[H])[C]2([H])[C]([H])([H])[C]([H])([H])[N]([C]([H])([H])[C]([H])([H])[c]3[c]([H])[c]([H])[c]([H])[c]([H])[c]3[H])[C]([H])([H])[C]2([H])[H])[c]([H])[c]1[H],35.0,6.51
1745,4.37,[H][c]1[c]([H])[c]([H])[c]([N]([C](=[O])[C]([H])([H])[C]([H])([H])[H])[C]2([H])[C]([H])([H])[C]([H])([H])[N]([C]([H])([H])[C]([H])([H])[c]3[c]([H])[c]([H])[c]([H])[c]([H])[c]3[H])[C]([H])([H])[C]2([H])[H])[c]([H])[c]1[H],35.0,6.23
1746,4.37,[H][c]1[c]([H])[c]([H])[c]([N]([C](=[O])[C]([H])([H])[C]([H])([H])[H])[C]2([H])[C]([H])([H])[C]([H])([H])[N]([C]([H])([H])[C]([H])([H])[c]3[c]([H])[c]([H])[c]([H])[c]([H])[c]3[H])[C]([H])([H])[C]2([H])[H])[c]([H])[c]1[H],35.0,5.94
1750,3.95,[H][c]1[s][c]([C]([H])([H])[C]([H])([H])[N]2[C]([H])([H])[C]([H])([H])[C]([N]([C](=[O])[C]([H])([H])[C]([H])([H])[H])[c]3[c]([H])[c]([H])[c]([H])[c]([H])[c]3[H])([C]([H])([H])[O][C]([H])([H])[H])[C]([H])([H])[C]2([H])[H])[c]([H])[c]1[H],35.0,12.77
1751,3.95,[H][c]1[s][c]([C]([H])([H])[C]([H])([H])[N]2[C]([H])([H])[C]([H])([H])[C]([N]([C](=[O])[C]([H])([H])[C]([H])([H])[H])[c]3[c]([H])[c]([H])[c]([H])[c]([H])[c]3[H])([C]([H])([H])[O][C]([H])([H])[H])[C]([H])([H])[C]2([H])[H])[c]([H])[c]1[H],35.0,7.97
1752,3.95,[H][c]1[s][c]([C]([H])([H])[C]([H])([H])[N]2[C]([H])([H])[C]([H])([H])[C]([N]([C](=[O])[C]([H])([H])[C]([H])([H])[H])[c]3[c]([H])[c]([H])[c]([H])[c]([H])[c]3[H])([C]([H])([H])[O][C]([H])([H])[H])[C]([H])([H])[C]2([H])[H])[c]([H])[c]1[H],35.0,7.6
1753,3.95,[H][c]1[s][c]([C]([H])([H])[C]([H])([H])[N]2[C]([H])([H])[C]([H])([H])[C]([N]([C](=[O])[C]([H])([H])[C]([H])([H])[H])[c]3[c]([H])[c]([H])[c]([H])[c]([H])[c]3[H])([C]([H])([H])[O][C]([H])([H])[H])[C]([H])([H])[C]2([H])[H])[c]([H])[c]1[H],35.0,6.97
