,smiles,logP,pH,Temperature
78270,CC(C)CC(NC(=O)C([NH3+])CC1=CC=C(O)C=C1)C(=O)NC(C(C)C)C([O-])=O,-1.45,7.0,25.0
78271,[NH3+]C(CC1=CC=C(O)C=C1)C(=O)NCC(=O)NC(CC1=CC=CC=C1)C([O-])=O,-1.86,7.0,25.0
78272,CCC(C)C(NC(=O)C(CC1=CC=C(O)C=C1)NC(=O)C(C)[NH3+])C([O-])=O,-2.04,7.0,25.0
78273,CCC(C)C([NH3+])C(=O)NC(CC1=CC=C(O)C=C1)C(=O)NC(C(C)C)C([O-])=O,-1.77,7.0,25.0
78274,CCC(C)C(NC(=O)C([NH3+])CC1=CC=CC=C1)C(=O)NC(C(C)O)C([O-])=O,-1.95,7.0,25.0
78275,CCC(C)C(N)C(=O)NC(C)C(=O)NC(C)C(=O)NC(C(C)CC)C(O)=O,-2.82,7.0,25.0
78276,CCC(C)C(N)C(=O)N1CCCC1C(=O)NCC(=O)NC(C(C)CC)C(O)=O,1.69,7.0,25.0
78277,CC(C)C(N)C(=O)N1CCCC1C(=O)NCC(=O)NC(C(C)C)C(O)=O,-2.83,7.0,25.0
78278,CC(C)C(NC(=O)C(CC1=CC=CC=C1)NC(=O)C(N)CCCCN)C(O)=O,0.51,13.0,25.0
78279,CCC(C)C(N)C(=O)NC(CC1=CN=CN1)C(=O)NC(C(C)C)C(O)=O,-0.24,10.0,25.0
78280,CC(C)CC(NC(=O)C(CC1=CC=CC=C1)NC(=O)C(N)CC(O)=O)C(O)=O,0.4,2.0,25.0
78281,CCC(C)C(NC(=O)C(N)CC(O)=O)C(=O)NC(CC1=CC=CC=C1)C(O)=O,0.61,2.0,25.0
78282,CC(C)CC(NC(=O)C(CC(O)=O)NC(=O)C(N)CC1=CC=CC=C1)C(O)=O,0.39,2.0,25.0
78283,CCC(C)C(NC(=O)C(N)CC(C)C)C(=O)NC(CCC(O)=O)C(O)=O,0.07,2.0,25.0
84882,NC(CC1=CC=CC=C1)C(=O)NC(CC1=CC=CC=C1)C(=O)NC(CC1=CC=CC=C1)C(O)=O,-0.02,7.0,25.0
84883,CC(C)C(NC(=O)C([NH3+])CC1=CC=CC=C1)C(=O)NC(CC1=CC=CC=C1)C([O-])=O,-0.76,7.0,25.0
84884,CC(NC(=O)C(CC1=CC=CC=C1)NC(=O)C([NH3+])CC1=CNC2=CC=CC=C12)C([O-])=O,-1.0,7.0,25.0
84885,CC(C)CC(NC(=O)C(CC1=CNC2=CC=CC=C12)NC(=O)C([NH3+])CC1=CNC2=CC=CC=C12)C([O-])=O,0.36,7.0,25.0
84886,CC(C)C[C@H](N)C(\O)=N/[C@@H](CC(C)C)C(\O)=N/[C@@H](CC1=CC=C(O)C=C1)C(O)=O,-1.34,7.0,25.0
84887,CC(C)C([NH3+])C(=O)NC(CC1=CC=CC=C1)C(=O)NC(CC1=CC=C(O)C=C1)C([O-])=O,-1.5,7.0,25.0
84888,CC(C)C(NC(=O)C([NH3+])CC1=CC=C(O)C=C1)C(=O)NC(CC1=CC=CC=C1)C([O-])=O,-1.37,7.0,25.0
84889,CC(C)CC(NC(=O)C(CC1=CC=C(O)C=C1)NC(=O)C([NH3+])CC1=CC=C(O)C=C1)C([O-])=O,-1.38,7.0,25.0
84890,CSCCC(N)C(=O)NC(CC(C)C)C(=O)NC(CC1=CC=CC=C1)C(O)=O,-1.03,7.0,25.0
84891,NC(CC1=CC=CC=C1)C(=O)NCC(=O)NCC(=O)NC(CC1=CC=CC=C1)C(O)=O,-1.51,7.0,25.0
