,smiles,logP
9497,CC12CCC(=O)C=C1CCC1C2CCC2(C)C(O)CCC12,3.32
9498,CC12CCC(=O)C=C1CCC1C2CCC2(C)C1CCC2(C)O,3.36
9500,CC12CCC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO,1.47
9501,CC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,3.87
9502,CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C(C(=O)CO)CCC12,1.94
9505,C#CCCCC,2.73
9513,O=P(N1CC1)(N1CC1)N1CC1,-0.62
9551,CC(C)C(N)C(=O)O,-2.26
9570,ClC(Cl)=C(Cl)Cl,3.4
9585,O=[N+]([O-])c1ccc(Cl)cc1,2.39
9589,Nc1ccccc1[N+](=O)[O-],1.85
9590,Nc1ccc([N+](=O)[O-])cc1,1.39
9592,CC1OC(C)OC(C)O1,0.67
9594,O=C(O)c1cccc([N+](=O)[O-])c1,1.83
9597,NNC(=O)c1ccc([N+](=O)[O-])cc1,0.35
9600,O=C(CBr)c1ccccc1,2.19
9602,O=[N+]([O-])/C=C/c1ccccc1,2.11
9603,O=C(O)COc1ccccc1,1.34
9604,Cc1cccc(C)c1[N+](=O)[O-],2.95
9605,CCOc1ccc([N+](=O)[O-])cc1,2.53
9607,CN(C)c1cccc([N+](=O)[O-])c1,2.16
9608,CN(C)c1ccc([N+](=O)[O-])cc1,2.27
9614,CCCCCCCCBr,4.89
9615,CCCCCCCC,5.18
9616,CCCCCCCCO,3.0
9617,CCCCCCCCN,2.9
9619,CC(=O)Nc1ccc(C)cc1[N+](=O)[O-],1.49
9620,CC(=O)Cc1ccccc1,1.44
9627,O=S(=O)(O)c1cccc2c(O)cccc12,-0.17
9639,CC(=O)Oc1cccc2ccccc12,2.78
9641,CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,1.47
9643,c1ccc2c(c1)ccc1ncccc12,3.43
9649,CCCCCCCC/C=C/CCCCCCCC(=O)O,7.64
9674,Oc1cccc(C(F)(F)F)c1,2.95
9675,CCOc1ccc(O)cc1,1.81
9677,Oc1c(Cl)cc(Cl)c(Cl)c1Cc1c(O)c(Cl)cc(Cl)c1Cl,7.54
9683,CC12CCC3c4ccc(O)cc4CCC3C1CCC2O,4.01
9684,CC12CCC3C(CC=C4CC(O)CCC43C)C1CCC2=O,3.23
9686,CC12CCC3C(CCC4CC(O)CCC43C)C1CCC2=O,3.69
9695,Cc1ccc(S(N)(=O)=O)cc1,0.82
9696,CCc1ccc(S(N)(=O)=O)cc1,1.31
9700,NS(=O)(=O)c1ccc(Cl)cc1,1.15
9703,CCC(Br)(CC)C(=O)NC(N)=O,1.54
9745,CCC(C)C(N)C(=O)O,-1.7
9746,NC(Cc1ccccc1)C(=O)O,-1.44
9747,NC(CO)C(=O)O,-3.07
9760,NC(Cc1ccc(O)cc1)C(=O)O,-2.04
9769,O=C(O)CNC(=O)c1ccccc1,0.31
9786,NCCO,-1.31
9809,CC12C=CC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO,1.46
9895,OC1CCCCC1O,0.23
9897,CCc1ccccc1O,2.47
9903,O=Cc1c[nH]c2ccccc12,1.68
9909,COc1cccc(OC)c1OC,1.53
9913,COC(=O)CCc1ccccc1,2.32
9924,O=C(O)CCCC(=O)c1ccccc1,1.49
10005,C=CN1CCCC1=O,0.37
10015,O=C(O)COc1ccccc1F,1.39
10018,O=[N+]([O-])c1c(Cl)c(Cl)cc(Cl)c1Cl,4.38
10046,Fc1ccc(F)c(F)c1,2.52
10050,Fc1cccc(Br)c1,2.92
10054,Fc1cccc(Cl)c1,2.76
10055,Fc1ccc(Cl)cc1,2.78
10058,Fc1ccccc1F,2.37
10064,O=[N+]([O-])c1ccc(F)cc1,1.8
10067,O=[N+]([O-])c1ccc(F)cc1O,1.91
10068,Fc1cccc(F)c1,2.21
10069,Fc1ccc(F)cc1,2.13
10073,Nc1ccc(F)c(Cl)c1,2.06
10077,Oc1ccccc1F,1.71
10078,Oc1ccc(F)cc1,1.77
10080,Nc1ccc(F)cc1F,1.54
10081,Nc1cccc(Br)c1,2.1
10082,Nc1ccccc1F,1.26
10083,Nc1cccc(F)c1,1.3
10090,FC(F)(F)c1ccccc1Cl,3.53
10096,O=[N+]([O-])c1cccc(C(F)(F)F)c1,2.62
10101,Nc1cc(C(F)(F)F)ccc1Cl,3.06
10102,O=C(O)c1ccccc1F,1.77
10103,O=C(O)c1cccc(F)c1,2.15
10104,O=C(O)c1ccc(F)cc1,2.07
10119,Nc1ccccc1C(F)(F)F,2.41
10120,Nc1ccc(C(F)(F)F)cc1,1.95
10122,COc1ccccc1F,2.14
10125,FC(F)(F)c1cccc(C(F)(F)F)c1,3.83
10131,CC(=O)Nc1cccc(F)c1,1.65
10132,CC(=O)Nc1ccc(F)cc1,1.47
10161,CCCCC(N)C(=O)O,-1.53
10166,O=c1[nH]c2ccccc2[nH]1,1.12
10214,O=C1OC(=O)c2ccccc21,1.6
10241,O=S1(=O)OC(c2ccc(O)cc2)(c2ccc(O)cc2)c2ccccc21,3.02
10242,N=C1C=CC(=C(c2ccc(N)cc2)c2ccc(N)cc2)C=C1,-0.21
10261,CNCC(=O)O,-2.78
10264,CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO,1.61
10457,CC(=O)NS(=O)(=O)c1ccc(N)cc1,-0.96
10462,Cc1cc(C)nc(NS(=O)(=O)c2ccc(N)cc2)n1,0.89
10529,OC(c1ccccc1)C(O)c1ccccc1,1.91
10582,OCCCCCl,0.85
10583,NCCc1ccccc1,1.41
10584,CC(C)=CC=C(C)C,3.5
10587,CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,2.07
10588,CCCC(C)C1(CC)C(=O)NC(=O)NC1=O,2.1
10589,CCCCCC1(CC)C(=O)NC(=O)NC1=O,2.24
10590,C=CCC1(C(C)CCC)C(=O)NC(=O)NC1=O,1.97
10625,CC(=O)NC(Cc1ccc(O)cc1)C(=O)O,1.32
10730,CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)C=CC4(C)C3C(O)CC21C,2.4
10736,CC12CCC3C(CCC4CC(=O)CCC43C)C1CCC2O,3.55
10737,C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C,3.67
10753,CNC(=O)Nc1ccccc1,1.12
10760,CN(C)C(=O)c1ccccc1,0.62
10954,BrC1CCCCC1,3.2
10960,COC(=O)CCCCC(=O)OC,1.03
10962,Cc1ccc(C(C)C)c(O)c1,3.3
10970,Cc1cc(-c2ccc(N)c(C)c2)ccc1N,2.34
11018,OCCNCc1ccccc1,0.79
11065,CC12CCC(=O)C=C1CCC1C2CCC2(C)C(C(=O)CO)CCC12,2.88
11070,CN1C(=O)CCC1=O,-0.95
11075,CS(=O)(=O)Nc1ccccc1,0.95
11176,Nc1ccc2ccc3cccc4ccc1c2c34,4.31
11181,CN1CCc2cccc3c2C1Cc1ccc(O)c(O)c1-3,2.3
11417,c1ncncn1,-0.73
11485,CCC(C)C1(CC)C(=O)NC(=O)NC1=O,1.69
11489,C=CCC1=C(C)C(OC(=O)C2C(C=C(C)C)C2(C)C)CC1=O,4.78
11553,Cc1ccc2cc(C)c(C)cc2c1,4.73
11560,O=C1CC(c2ccc(O)cc2)Oc2cc(O)cc(O)c21,2.52
11602,CC1=C(O)C(=O)c2ccccc2C1=O,1.2
11855,CC12CCC3c4ccc(O)cc4CCC3C1CC(O)C2O,2.45
11941,OC(CCN1CCCCC1)(c1ccccc1)C1CCCCC1,4.49
11947,Nc1ccc2c(c1)Cc1ccccc1-2,3.14
11951,Nc1ccc2c(c1)Cc1cc([N+](=O)[O-])ccc1-2,3.06
12040,O=C1c2cc([N+](=O)[O-])ccc2-c2c1cc([N+](=O)[O-])cc2[N+](=O)[O-],2.42
12105,CC1(O)CCC2C3CCC4CC(=O)CCC4(C)C3(F)C(O)CC21C,2.38
12599,NC(=O)Nc1ccc(Cl)cc1,1.8
12605,CC(C)NC(=N)NC(=N)Nc1ccc(Cl)cc1,2.53
12696,c1ccc(CNc2ccccc2)cc1,3.13
12742,NC(Cc1c[nH]c2ccccc12)C(=O)O,-1.06
12747,CN1CC(=O)NC1=N,-1.76
12749,O=C(O)c1cccnc1,0.36
12750,COC(=O)c1cccnc1,0.83
12752,NC(=O)c1cccnc1,-0.37
12760,COc1ccc(CN(CCN(C)C)c2ccccn2)cc1,3.27
12781,c1ccc2nc3ccccc3nc2c1,2.84
12819,NC(CSSCC(N)C(=O)O)C(=O)O,-5.08
12864,CN(C)C1C(O)=C(C(N)=O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)ccc(Cl)c4C(C)(O)C3CC12,-0.62
13008,CC12C=CC(=O)C=C1CCC1C3CC(O)C(O)(C(=O)CO)C3(C)CC(O)C12F,1.16
13285,O=C1C=CC(=O)N1,-0.29
13463,CN(C)c1nc(N(C)C)nc(N(C)C)n1,2.73
13476,CCNc1nc(Cl)nc(N(CC)CC)n1,3.34
13477,CCNc1nc(N)nc(Cl)n1,1.15
13516,CC(=O)Oc1c[nH]c2ccccc12,2.01
13577,CNCC(O)c1cccc(O)c1,-0.31
13589,N=C(N)NS(=O)(=O)c1ccc(N)cc1,-1.22
13633,Nc1ncnc2[nH]cnc12,-0.09
13636,CCOC(=O)N(C)C,0.89
13735,C=C1CC23CC1(O)CCC2C12C=CC(O)C(C)(C(=O)O1)C2C3C(=O)O,0.24
13816,CN(C)CC(=O)O,-2.91
13830,O=C(O)Cc1ccc(Cl)cc1,2.12
13900,O=C(O)Cc1ccc(Br)cc1,2.31
13902,O=C(O)Cc1cccc(O)c1,0.85
13986,CC(C)(C)C1=CC(=O)C=C(C(C)(C)C)C1=O,4.42
13997,CC(C)(C)c1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,6.06
14026,CC(C)c1ccc([N+](=O)[O-])cc1,3.45
14139,CC(C)C(=O)C(C)C,1.86
14236,CCCCCCC(C)O,2.9
14237,CCCCCCCC(C)=O,3.14
14318,Oc1ccccc1/C=N/c1ccccc1,3.09
14319,O=C(Nc1ccccc1)c1ccccc1O,3.27
14333,CNC(=O)NC,-0.49
14334,NC(=O)c1cnccn1,-0.6
14339,c1ccc(-c2ccccc2)cc1,3.98
14382,CN(C)CCCN1c2ccccc2Sc2ccc(C(F)(F)F)cc21,5.54
14400,O=c1c2ccccc2oc2ccccc12,3.39
14431,Nc1cccc(C(=O)O)c1,0.65
14456,Nc1cccnc1,0.11
14457,Nc1ccncc1,0.26
14458,O=C(O)c1ccccc1Cl,2.05
14459,CC(=O)c1ccccn1,0.85
14488,O=C(Cc1ccccc1)Nc1ccccc1,2.7
14546,CNCCc1ccccc1,1.91
14718,CC1=CC(=O)C(C)=CC1=O,1.28
14719,O=C(O)c1cccc(C(=O)O)c1,1.66
14720,c1ccc2c(c1)CCCN2,2.29
14723,CCCOC(=O)c1ccccc1C(=O)OCCC,3.27
14724,CC(C)OC(=O)c1ccccc1C(=O)OC(C)C,2.83
14725,CC(C)COC(=O)c1ccccc1C(=O)OCC(C)C,4.11
14727,CCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC,8.06
14755,O=Cc1ccccc1Cl,2.33
14756,Cc1ccccc1N,1.32
14757,Cc1cccc(N)c1,1.4
14758,Cc1ccc(N)cc1,1.39
14759,COc1cc(C=O)ccc1O,1.21
14799,COC(=O)c1ccccc1C(=O)OC,1.56
14868,CC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C,3.17
14929,O=[As](O)(O)c1ccccc1,0.06
15120,C=CC1CC=CCC1,3.93
15132,O=C(O)Cc1cccc2ccccc12,2.24
15157,O=Cc1ccc(C(=O)O)cc1,1.76
15270,O=c1c2ccccc2sc2ccccc12,3.99
15344,c1ccc2c(c1)ccc1cccnc12,3.43
15356,CCC(C)(C)C(=O)O,1.9
15371,CCN(CC)C(=O)c1ccccc1,1.25
15451,O=[N+]([O-])CCO,-0.42
15526,CNCCNC,-0.62
15806,c1ccc(-n2cccc2)cc1,3.08
15814,CC(O)C(N)C(=O)O,-2.94
15821,CN(C)c1ccc(C(=O)O)cc1,1.28
15823,O=C(O)c1cc2ccccc2[nH]1,2.31
15824,NC(=O)C(Cl)(Cl)Cl,1.04
15856,O=C(O)c1ccc(O)c(O)c1,0.86
15859,Cc1ccc(C(=O)O)c(O)c1,2.99
15869,CC(=O)c1ccc(C(=O)O)cc1,1.61
15904,COc1cc(CC(=O)O)ccc1O,0.33
16128,COc1ccccc1OC,1.6
16129,O=C/C=C/c1ccccc1,1.9
16130,N#CCCc1ccccc1,1.72
16131,CCC(=O)c1ccccc1,2.19
16132,ClCCCc1ccccc1,3.55
16133,NC(Cc1ccc(O)c(O)c1)C(=O)O,-2.74
16134,CCCc1ccccc1,3.69
16135,OCCCc1ccccc1,1.88
16214,CCCCC(CC)COC(=O)c1ccccc1C(=O)OCC(CC)CCCC,7.6
16267,O=C(O)C1CCCCN1,-2.31
16283,CCOC(=O)C(N)Cc1ccc(O)cc1,0.72
16581,CN(C)CCCN1c2ccccc2Sc2ccccc21,4.55
16583,CN(C)CCCN1c2ccccc2S(=O)c2ccc(Cl)cc21,2.32
16587,CN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,5.03
16591,CN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,4.88
16592,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,5.19
16602,Cc1ccc(O)c(O)c1,1.37
16646,c1cc2ccc3cccc4ccc(c1)c2c34,4.88
16653,CC(=O)c1ccc(Br)cc1,2.43
16661,CC1=CC(=O)C=C(C)C1=O,1.22
16667,N#C/C=C/C#N,-0.25
16670,N#Cc1cccnc1,0.36
16674,N#Cc1ccccc1C#N,0.99
16692,Nc1cccc(Cl)c1,1.88
16693,O=C(O)c1ccc(Br)cc1,2.86
16694,O=C(O)c1ccc(Cl)c(Cl)c1,3.25
16698,Clc1ccc(Br)cc1,3.54
16699,Oc1cccc(-c2ccccc2)c1,3.23
16774,CCC(C)[N+](=O)[O-],1.2
16936,O=c1oc2ccccc2c(O)c1Cc1c(O)c2ccccc2oc1=O,2.07
17026,CCC(CC)=C(c1ccc(O)cc1)c1ccc(O)cc1,5.07
17091,CNC(=O)Oc1ccc(C(C)=O)cc1,1.01
17182,[O-][n+]1ccccc1,-1.2
17183,Cc1cccnc1,1.2
17184,Cc1ccncc1,1.22
17187,C=Cc1ccccn1,1.54
17242,CC12CCC(=O)C=C1CCC1C2CCC2(C)C1CCC2(O)C(=O)CO,3.08
17261,Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(CC(O)C(O)C(O)CO)c2cc1C,-1.46
17331,ClCCN(CCCl)c1ccccc1,2.9
17369,Oc1cccnc1,0.48
17502,C=C(C)C(=O)OCC(C)C,2.66
17504,C=CCc1ccccc1,3.23
17545,CN(C)CC/C=C1\c2ccccc2Sc2ccc(Cl)cc21,5.18
17550,Cc1nn(-c2ccccc2)c(C)c1N=O,2.28
17610,CCCN(CCC)S(=O)(=O)c1ccc(C(=O)O)cc1,3.21
17621,O=NN1CCCC1,-0.19
17628,CC(C)c1cccc(=O)c(O)c1,1.89
17629,CC(C)c1ccc(O)c(=O)cc1,1.89
17823,O=c1cc(-c2ccccc2)oc2ccccc12,3.56
17838,CN1CCC23c4c5ccc(O)c4OC2C(=O)CCC3(O)C1C5,0.83
18014,c1ccc(Oc2ccccc2)cc1,4.21
18076,O=C(O)CCCCCCCC(=O)O,1.57
18092,COC(=O)C1C(O)CCC2CN3CCc4c([nH]c5ccccc45)C3CC21,2.73
18158,CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1,3.93
18195,O=[N+]([O-])c1cc[n+]([O-])c2ccccc12,1.09
18225,CCN(CC)CCN,0.21
18335,O=c1c(O)c(-c2ccc(O)cc2O)oc2cc(O)cc(O)c12,1.54
18526,C[Hg]Cl,0.41
18532,COC(=O)c1cccc(C)c1,2.77
18631,O=C(O)c1cc(O)c(O)c(O)c1,0.7
18668,NC(CCCc1ccccc1)C(=O)O,-0.36
18723,S=C=Nc1ccc(Cl)cc1,3.91
18743,O=c1ccn(C2OC(CO)C(O)C2O)c(=O)[nH]1,-1.98
18749,OCC1OC(n2cnc3c(O)ncnc32)C(O)C1O,-2.1
18846,Nc1ccc(S)cc1,1.31
18861,O=[N+]([O-])c1cccc2c([N+](=O)[O-])cccc12,2.58
18926,C=C(C)C#N,0.68
18991,ON=C(c1ccccc1)c1ccccc1,3.2
19024,OCCn1nnc2ccccc21,0.5
19100,NNC(=O)Nc1ccccc1,0.16
19109,NS(=O)(=O)c1ccc(O)cc1,0.06
19146,O=C(c1ccccc1)c1ccccn1,1.88
19185,C=CCNCC=C,1.11
19186,C=CC(=O)OCC(C)C,2.22
19193,C=C(C)C(=O)OCCCC,2.88
19194,C=C(C)C(=O)OC(C)(C)C,2.54
19205,C=C(C)C(=O)OC1CCCCC1,3.13
19227,O=C(O)C(CO)c1ccccc1,0.77
19283,Cc1cccc2ccc3ccccc3c12,5.08
19304,Nc1cc(Cl)cc(Cl)c1,2.9
19472,Cc1ncc(CO)c(CN)c1O,-1.3
19496,CC(=O)CF,-0.39
19497,FCC1CO1,-0.16
19499,OC(CF)CF,-0.36
19510,S=C1NCCCN1,-0.68
19588,Cc1ncc[nH]1,0.24
19633,CC1=CCC(C(C)C)=CC1,4.5
19634,CC1=CCC(C(C)(C)O)CC1,2.98
19731,Cc1cn(C2CC(O)C(CO)O2)c(=O)[nH]c1=O,-0.93
19801,Oc1c(F)c(F)c(F)c(F)c1F,3.23
19802,Fc1c(F)c(F)c(F)c(F)c1F,2.55
19811,Cc1cc(N)nc(C)n1,0.39
19822,[O-][n+]1cccc2ccccc21,0.36
19893,COc1cccc(O)c1,1.34
20070,c1ccc2c(c1)cc1ccc3cccc4ccc2c1c34,5.97
20072,CC1(C)OC2CC3C4CCC5=CC(=O)C=CC5(C)C4(F)C(O)CC3(C)C2(C(=O)CO)O1,2.53
20126,Cc1ccc2cc3c(ccc4ccccc43)c3c2c1CC3,6.42
20445,CCCC[Sn](Cl)(CCCC)CCCC,3.68
20471,CCCOC(=O)c1ccc(C(=O)OCCC)nc1,3.57
20532,c1ccc2c(c1)ccc1cc3c(ccc4ccccc43)cc12,7.11
20881,Nc1nc(O)c2ncn(C3CC(O)C(CO)O3)c2n1,-1.3
20922,CC(=O)NC1CCSC1=O,-0.35
20924,CC(C)(S)C(N)C(=O)O,-1.78
20984,O=C(O)c1cc(O)cc(O)c1,0.86
21009,NS(=O)(=O)c1ccc(C(=O)O)cc1,0.5
21072,O=C(O)c1ccc(-c2ccccc2)cc1,3.75
21108,Cc1ccccc1O,1.95
21132,N=C(N)NC(=N)NCCc1ccccc1,-0.83
21257,CN(C)N=O,-0.57
21490,CC/C(=C\c1ccccc1)[N+](=O)[O-],2.86
21525,CCCOC(=O)c1ccc(N)cc1,2.43
21615,O=c1ccn(C2CC(O)C(CO)O2)c(=O)[nH]1,-1.51
21671,N#CCCN(CCC#N)N=O,0.08
21763,CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1,2.34
21805,O=[N+]([O-])/C=C/c1cccc([N+](=O)[O-])c1,1.82
21840,CN(N=O)C(N)=O,-0.03
21887,CCCCCCCCOC(=O)CCCCCCC,6.51
21992,O=C(OCCc1ccccc1)c1ccccc1,4.01
22033,C=CC(=O)OC,0.8
22039,C=C(C)C(=O)OCC,1.94
22060,C=C(C)C(=O)OCC(CC)CCCC,4.54
22067,C=C(C)C(=O)OCCO,0.47
22071,CCCCC/C=C/C/C=C/CCCCCCCC(=O)O,7.05
22132,CCCCCCC1CCC(=O)O1,2.72
22146,CCCCC1CO1,1.95
22192,COC1=CC(=O)C=C(OC)C1=O,-0.06
22376,COC(=O)c1ccc(C)cc1,2.7
22433,COc1cc(C2c3cc4c(cc3C(O)C3COC(=O)C23)OCO4)cc(OC)c1OC,2.01
22443,C1=CCCCC1,2.86
22444,CC1CCCC1,3.37
22445,CC(C)C(C)C,3.42
22456,CC(C)Cc1ccccc1,4.68
22469,c1ccc(-c2c3ccccc3c(-c3ccccc3)c3ccccc23)cc1,8.46
22482,COC(=O)CCC(C)=O,-0.13
22544,Cc1[nH]c2ccccc2c1C,3.05
22629,Oc1ccc(Oc2ccccc2)cc1,3.35
22648,O=C(O)Cc1ccc(O)cc1,0.75
22666,Fc1ccc(CCl)cc1,2.73
22704,CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,3.16
22718,O=C(CCBr)N1CCN(C(=O)CCBr)CC1,0.42
22723,NCCCC(N)C(=O)O,-4.22
22804,COC(=O)C1C(OC(=O)c2ccccc2)CC2CCC1N2C,2.3
22857,NC(=O)OCc1ccccc1,1.2
23024,CC1OC(OC2CC(O)C3(CO)C4C(O)CC5(C)C(C6=CC(=O)OC6)CCC5(O)C4CCC3(O)C2)C(O)C(O)C1O,-2.0
23036,CCC(C)(C)O,0.89
23037,CCC(C)O,0.61
23039,CC(O)c1ccccc1,1.42
23276,Nc1ccc(C(=O)O)cc1F,1.41
23395,CC(N)=O,-1.26
23403,CCN(CC)C(=S)SSC(=S)N(CC)CC,3.88
23406,CCCCCCCCCCCCCCCCCC(=O)O,8.23
23428,CCNc1nc(Cl)nc(NCC)n1,2.18
23429,CC(C)Nc1nc(Cl)nc(NC(C)C)n1,2.93
23440,Cc1cccc(C#N)n1,0.84
23442,OCc1ccncc1,0.06
23549,OCc1ccc(Cl)c(Cl)c1,2.74
23565,NCCCCCC(=O)O,-2.95
23608,CC1CC2(C)C(CCC3C4CCC(O)C4(C)CCC32)CC1=O,3.99
23664,c1ccc2c(c1)ccc1ccccc12,4.46
23672,OCc1ccc2c(c1)OCO2,1.05
23678,O=P1(N(CCCl)CCCl)NCCCO1,0.63
23743,c1ccc2[nH]ncc2c1,1.77
23750,Oc1ccc2ncccc2c1,1.98
23754,C1OCOCO1,-0.43
23757,CC1(C)C2CCC1(C)C(O)C2,2.69
23953,O=C(O)CSCc1ccccc1,2.1
24027,O=C1C=CC(=O)c2c(O)ccc(O)c21,1.79
24123,O=c1cc(-c2ccccc2)oc2cccc(O)c12,4.3
24171,O=Cc1ccc2c(c1)OCO2,1.05
24306,COC12C(COC(N)=O)C3=C(C(=O)C(C)=C(N)C3=O)N1CC1NC12,-0.4
24323,N#Cc1c2ccccc2cc2ccccc12,4.26
24328,Brc1cc(Br)c(Br)cc1Br,5.13
24329,Clc1cc(Cl)c(Cl)cc1Cl,4.64
24437,CCC1(CC)C(=O)NC(=O)N(C)C1=O,1.15
24440,CC(N)Cc1ccccc1,1.76
24442,C1CCNCC1,0.84
24463,Nc1ccc(S(=O)(=O)c2ccc([N+](=O)[O-])cc2)cc1,2.04
24492,CC(=O)Oc1ccccc1C(=O)O,1.19
24518,Cc1ccnc(NS(=O)(=O)c2ccc(N)cc2)n1,0.14
24549,O=C1NC(=O)C(c2ccccc2)N1,0.46
24558,CNC(=O)Oc1cccc2ccccc12,2.36
24630,NCCCC(=O)O,-3.17
24633,NC(=O)CCC(N)C(=O)O,-3.64
24634,NC(Cc1c[nH]cn1)C(=O)O,-3.32
24637,NC(=O)NCCCC(N)C(=O)O,-3.19
24646,O=C(O)c1cccc(O)c1O,1.2
24647,O=C(O)c1ccc(O)c(O)c1O,1.05
24666,CCN(CC)CCNC(=O)c1ccc(N)cc1,0.88
24806,O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1F,-1.16
24884,CC(=O)Oc1ccccc1,1.49
24888,COc1ccc(CC(=O)O)cc1,1.42
24926,ClCCc1ccccc1,2.95
25021,Nc1cccc2ncccc12,1.16
25347,Nc1cc(Cl)ccc1O,1.81
25484,COc1cccc(OC)c1C(=O)O,0.66
25648,Oc1cccc2c1CCCC2,2.95
25682,CN(C)CCN(C)C,0.3
25812,Oc1c(O)c(Cl)c(Cl)c(Cl)c1Cl,4.29
26000,O=C1C=C(N2CC2)C(=O)C(N2CC2)=C1N1CC1,-0.13
26090,CC(Oc1cc(Cl)c(Cl)cc1Cl)C(=O)O,3.8
26095,CC(C)OC(=O)Nc1cccc(Cl)c1,3.51
26184,N#CC(C#N)=NNc1ccccc1,2.67
26254,CN(Cc1cnc2nc(N)nc(N)c2n1)c1c(Cl)cc(C(=O)NC(CCC(=O)O)C(=O)O)cc1Cl,-0.1
26322,CCCCOC(=O)Nc1ccccc1,3.3
26595,C1COC1,-0.14
26603,O=CNc1cccc(Cl)c1,1.9
26604,c1ccc2c(c1)OCO2,2.08
26620,O=C(O)c1cc(Cl)ccc1O,3.09
26621,O=C(O)CCCCCC(=O)O,0.61
26624,O=C(O)COc1cccc(Cl)c1,2.03
26674,O=S(=O)(Nc1ccccc1)c1ccccc1,2.58
26701,CNC(N)=S,-0.69
26768,CCCO,0.25
26773,O=C1CCN(c2ccccc2)N1,0.89
26783,CC(CN1c2ccccc2Sc2ccccc21)N(C)C,4.81
26802,O=[N+]([O-])c1ccncc1,0.33
26848,Cc1cnccn1,0.21
26853,CCCC(C)(COC(N)=O)COC(N)=O,0.7
26854,COc1cc(CCN)cc(OC)c1OC,0.78
26870,CCC1(CC)C(=O)NCC(C)C1=O,0.78
26967,CC(=O)Nc1cccc(C(F)(F)F)c1,2.56
26984,CCN(CC)CC,1.45
26986,CCNCC,0.58
26987,ClCC#CCCl,2.01
27006,C/C=C(\C)C(=O)OC1CCN2CC=C(COC(=O)C(O)(C(C)OC)C(C)(C)O)C12,1.28
27016,CC(=O)c1ccc(F)cc1,1.72
27017,CC(=O)Nc1ccc(S(=O)(=O)F)cc1,2.17
27081,C=CCOP(=O)(OCC=C)OCC=C,1.76
27155,CNC(=O)Oc1ccc2c(c1)C1(C)CCN(C)C1N2C,1.58
27176,c1ccc2c(c1)Cc1ccccc1C2,4.25
27248,c1ccc2c(c1)c1ccccc1c1c3ccccc3c3ccccc3c21,8.39
27326,c1ccc2cc3c(ccc4ccccc43)cc2c1,5.76
27405,NS(=O)(=O)c1ccc(Br)cc1,1.36
27540,CC(C)COC(N)=O,0.65
27642,CCC(=O)Nc1ccc(Cl)c(Cl)c1,3.07
27668,CCC1(CC)C(=O)NC(=O)NC1=O,0.65
27768,CCC(=O)c1ccncc1,0.77
27864,CC(O)C(=O)O,-0.72
27896,COC(=O)C1=CCCN(C)C1,0.35
27990,NC(=O)CF,-1.05
28007,CN(C)C(=S)Nc1ccccc1,1.04
28166,NC(=O)NO,-1.8
28172,O=c1cnn(C2OC(CO)C(O)C2O)c(=O)[nH]1,-2.14
28237,OC(c1ccccc1)c1ccccc1,2.67
28369,CCCCCCC1(CC)C(=O)NC(=O)NC1=O,2.46
28372,CCCCC1C(=O)NC(=O)NC1=O,0.77
28379,C=C(C)CC1(CC)C(=O)NC(=S)NC1=O,2.19
28418,COC(=O)COc1ccccc1,1.41
28485,CC(C)C(=O)Nc1ccc(Cl)c(Cl)c1,3.72
28556,C=CCOCCO,-0.1
28559,C=C(C)C(=O)OCC(F)(F)F,1.56
28577,C=CCN(CC=C)CC=C,2.59
28676,COc1ccc(CC(C)N)cc1,1.77
28708,Nc1ncnc2[nH]nnc12,-0.96
28764,OCCO,-1.36
28859,NC(=O)/C=C/c1ccccc1,1.43
28983,CCOC(=O)NC(O)C(Cl)(Cl)Cl,1.84
29140,CN(C)CCOC(c1ccccc1)c1ccccc1,3.27
29202,CCC1(c2ccccc2)NC(=O)NC1=O,1.53
29224,COc1cc2c(c(OC)c1OC)-c1ccc(O)c(=O)cc1C(NC(C)=O)CC2,1.2
29256,S=C(NC1CCCCC1)NC1CCCCC1,3.69
29417,O=c1cc(-c2ccccc2)ss1,3.01
