,smiles,logP
2652,CCOP(=O)(CC)OCC,0.66
2658,CCOP(=O)(OCC)OCC,0.8
2660,CC(=O)CC(C)=O,0.4
2670,c1ccc(SSc2ccccc2)cc1,4.41
2730,Cc1ccc(S(=O)(=O)F)cc1,2.74
2733,O=C(O)/C=C/C(=O)O,0.46
2744,NC(=O)NNc1ccccc1,0.13
2750,O=C1c2ccccc2C(=O)N1c1ccccc1,2.4
2762,NC(=O)Nc1ccccc1,0.83
2770,O=C(O)c1cc(I)ccc1O,3.34
2780,CC1(C(=O)O)CCC2(C)CCC3(C)C(=CC(=O)C4C5(C)CCC(OC6OC(C(=O)O)C(O)C(O)C6OC6OC(C(=O)O)C(O)C(O)C6O)C(C)(C)C5CCC43C)C2C1,2.8
2781,O=C1c2c(O)cc(O)cc2OC(c2ccc(O)c(O)c2)C1O,0.95
2786,O=C1C=CC(=O)C(c2ccccc2)=C1,1.95
2799,Oc1cc(O)c2c(c1)OC(c1ccc(O)c(O)c1)C(O)C2,0.51
2801,COc1cc(/C=C/C(=O)O)ccc1O,1.51
2809,Cc1occc(=O)c1O,0.09
2810,O=C(O)C(O)(c1ccccc1)c1ccccc1,2.3
2814,CCC(=O)c1ccc(O)cc1,2.03
2829,CC(CCl)OC(C)CCl,2.48
2831,Cc1cc(Cl)ccc1O,2.63
2849,OCCBr,0.23
2850,Oc1ccccc1Cl,2.15
2857,Oc1ccc(Cl)cc1,2.39
2858,Cc1cccc(Cl)c1O,2.8
2859,Oc1ccc(Cl)cc1Cl,3.06
2882,NC(=O)c1ccc([N+](=O)[O-])cc1,0.82
2896,NCC(=O)O,-3.21
2905,O=C(O)COc1ccc(Cl)cc1Cl,2.81
2997,c1ccc(C2CC2)cc1,3.27
3018,O=C(O)Cc1ccccc1,1.41
3030,CNC=O,-0.97
3033,COC(N)=O,-0.66
3034,COc1ccc(CC(N)C(=O)NC2C(CO)OC(n3cnc4c(N(C)C)ncnc43)C2O)cc1,0.03
3037,c1ccc2[nH]nnc2c1,1.44
3040,CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1,2.69
3048,O=C(NC(CO)C(O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl,1.14
3049,CC/C(=C(\CC)c1ccc(O)cc1)c1ccc(O)cc1,5.07
3075,CNC1CCc2cc(OC)c(OC)c(OC)c2-c2ccc(OC)c(=O)cc21,1.37
3082,CC(=O)Nc1cccc(C)c1,1.68
3087,O=C1NC(=O)c2ccccc21,1.15
3088,COC(=O)c1ccccc1N,1.88
3092,COC(=O)CC#N,-0.47
3093,NC(=O)c1ccccc1,0.64
3094,NC(=O)c1ccccc1O,1.28
3095,CCOc1ccc(N)cc1,1.24
3099,O=C(O)c1cccc([N+](=O)[O-])c1C(=O)O,0.75
3101,COc1ccccc1N,1.18
3103,O=Nc1ccc(O)cc1,1.29
3109,O=C(O)CCCc1c[nH]c2ccccc12,2.3
3110,O=C(Nc1ccccc1)c1ccccc1,2.62
3112,CC(=O)N(c1ccccc1)c1ccccc1,2.02
3115,O=C(NO)c1ccccc1,0.26
3117,CC(=O)N(C)C,-0.77
3121,Cc1ccc([N+](=O)[O-])c(O)c1,2.31
3137,CC(=O)Nc1ccccc1-c1ccccc1,2.02
3147,COc1cc(-c2ccc(N)c(OC)c2)ccc1N,1.81
3167,CC(O)CN,-0.96
3188,OC(O)C(Cl)(Cl)Cl,0.99
3191,O=P(OCCCl)(OCCCl)OCCCl,1.44
