,smiles,logP,pH,Temperature
160,OC1=C2NC(=O)SC2=C(CCNCCCS(=O)(=O)CCSCCC2=CC=CC=C2)C=C1,2.34,7.4,
161,NC(=O)C1=CC=C(CCOCCCS(=O)(=O)CCNCCC2=C3SC(=O)NC3=C(O)C=C2)C=C1,1.1,7.4,
162,CC1=CN=C(CCOCCCS(=O)(=O)CCNCCC2=C3SC(=O)NC3=C(O)C=C2)S1,2.87,7.4,
163,OC1=C2NC(=O)SC2=C(CCNCCCNS(=O)(=O)CCOCCC2=CC=CC=C2)C=C1,1.22,7.4,
164,OC1=C2NC(=O)SC2=C(CCNCCCS(=O)(=O)NCCOCC2=CC=CC=C2)C=C1,1.11,7.4,
165,OC1=C2NC(=O)SC2=C(CCNCCCS(=O)(=O)NCCOCCC2=CC=CC=C2)C=C1,1.46,7.4,
166,OC1=C2NC(=O)SC2=C(CCNCCNS(=O)(=O)CCCOCCC2=CC=CC=C2)C=C1,1.83,7.4,
167,OC1=C2NC(=O)SC2=C(CCNCCCS(=O)(=O)CCCOCCC2=CC=CC=C2)C=C1,1.34,7.4,
168,OC1=C2NC(=O)SC2=C(CCNCCCS(=O)(=O)CCOCC2=CC=CC=C2)C=C1,1.15,7.4,
169,OC1=C2NC(=O)SC2=C(CCNCCS(=O)(=O)CCCOCCC2=C3C=CC=CC3=CC=N2)C=C1,2.35,7.4,
170,OC1=C2NC(=O)SC2=C(CCNCCNS(=O)(=O)CCOCCCC2=CC=CC=C2)C=C1,2.22,7.4,
171,CSC1=CC(CCOCCS(=O)(=O)CCCNCCC2=C3SC(=O)NC3=C(O)C=C2)=CC=C1,1.63,7.4,
172,CN(CCCNCCC1=C2SC(=O)NC2=C(O)C=C1)S(=O)(=O)CCOCCC1=CC=CC=C1,1.24,7.4,
173,CC1=C(CCOCCCS(=O)(=O)CCNCCC2=C3SC(=O)NC3=C(O)C=C2)SC=N1,1.44,7.4,
174,OC1=C2NC(=O)SC2=C(CCNCCS(=O)(=O)CCCOCCNC2=CC=CC=C2)C=C1,1.98,7.4,
175,CC1=CC=C(CCOCCCS(=O)(=O)CCNCCC2=C3SC(=O)NC3=C(O)C=C2)N=C1,1.56,7.4,
176,CS(=O)(=O)NC1=CC=C(CCOCCCS(=O)(=O)CCNCCC2=C3SC(=O)NC3=C(O)C=C2)C=C1,1.34,7.4,
177,OC1=C2NC(=O)SC2=C(CCNCCS(=O)(=O)CCCOCCC2=CC3=CC=CC=C3O2)C=C1,2.86,7.4,
178,OC1=C2NC(=O)SC2=C(CCNCCS(=O)(=O)CCCOCCC2=CC=C(C=C2)C#N)C=C1,2.0,7.4,
179,OC1=C2NC(=O)SC2=C(CCNCCCSCCOCCC2=CC=CC=C2)C=C1,3.53,7.4,
180,OC1=C2NC(=O)SC2=C(CCNCCCS(=O)(=O)NCCSCCC2=CC=CC=C2)C=C1,1.77,7.4,
